isbn,name,image,rating,review_count,min_age,max_age,language,categories,price,order,type,author,Description
671885626,First Horror (Original),https://m.media-amazon.com/images/I/514D+ba3RrL._SY300_.jpg,4.7 out of 5 stars,703,8,12,English,99 Fear Street,478,1,Paperback,R. L. Stine,The first book in a scary new trilogy contributing to a series with more than 8.5 million copies in print. Here begins the terrifying story of a family who moves into the house that even their neighbors on Fear Street are afraid to enter. Twin sisters must learn the secret of the evil or be the next victims.
B00E6QSXGC,The Second Horror (99 Fear Street Book 2),https://m.media-amazon.com/images/I/51bmQ-YrzKL._SY300_.jpg,4.6 out of 5 stars,220,8,12,English,99 Fear Street,null,2,Paperback,R. L. Stine,"The second volume in an all-new Fear Street trilogy. Brandt thinks moving to Shadyside is great, but he hasn't heard the terrifying stories about his new home--99 Fear Street. He doesn't know about the headless bodies or bleeding walls. And he doesn't know that Cally Frasier still haunts the house and plans gruesome deaths for him and everyone close to him."
B00E2RX0RW,The Third Horror (99 Fear Street),https://m.media-amazon.com/images/I/51S7ITO73HL._SY300_.jpg,4.7 out of 5 stars,179,8,12,English,99 Fear Street,null,3,Paperback,R. L. Stine,"Kody Frasier always swore she'd come back to 99 Fear Street. She knows the spirit of her dead sister, Cally, is trapped there, waiting to be set free. Now Kody is starring in a movie about the evil that murdered Cally, and she hopes she can find and help Cally. But Cally doesn't want to be saved...she wants revenge."
8211833,The Secret Key: Agatha Oddly (1): Book 1,https://m.media-amazon.com/images/I/41aJeYncW4L._SY300_.jpg,4.5 out of 5 stars,"1,366",8,12,English,AGATHA ODDLY,275,1,Paperback,Lena Jones,"Meet thirteen-year-old Agatha Oddly - a bold, determined heroine and the star of a stylish new detective series.Agatha Oddlow has been a detective for as long as she can remember - she's just been waiting for her first big case. And nothing gets bigger than saving the City of London from some strange goings-on.With a scholarship to the prestigious St Regis School, a cottage in the middle of Hyde Park, a room full of beloved sleuthing novels and a secret key that gives her access to a whole hidden side of London, Agatha is perfectly poised to solve the mystery of what's going on. But just who can she trust when no one is quite who they seem..."
8211892,Murder At The Museum : Agatha Oddly Book 2,https://m.media-amazon.com/images/I/51IOlYHrFAL._SY300_.jpg,4.6 out of 5 stars,826,8,12,English,AGATHA ODDLY,276,2,Paperback,Lena Jones,"A second mystery for thirteen-year-old Agatha oddly - a bold, determined heroine, and the star of this stylish new detective series. Agatha oddlow's set to become the youngest member of the gatekeepers' Guild, but before that, she's got a mystery to solve! There's been a murder at the British museum and, although the police are investigating, Agatha suspects that they're missing a wider plot going on below London - a plot involving a disused tube station, a huge firework display, and five thousand tonnes of gold bullion...."
8211957,Agatha Oddly (3) -- The Silver Serpent,https://m.media-amazon.com/images/I/51UrMGvZlQL._SY300_.jpg,4.6 out of 5 stars,691,8,12,English,AGATHA ODDLY,290,3,Paperback,Lena Jones,"A third mystery for thirteen-year-old Agatha oddly - a bold, determined heroine, and the star of this stylish new detective series. Agatha Oddlow is on the case with yet another adventure! An Assistant at the national gallery has gone missing, but when Agatha begins investigating, she uncovers a plot bigger than she could ever have imagined. Join Agatha as she travels throughout London and into the very heart of the mystery...."
1474959520,Anisha Accidental Detective,https://m.media-amazon.com/images/I/51Kd8VIfgfL._SY300_.jpg,4.7 out of 5 stars,466,8,12,English,"Anisha, Accidental Detective",279,1,Paperback,Serena Patel,"""Perfect for younger detectives. So funny and clever and sweet."" Robin Stevens HELP! My super-dramatic Aunty Bindi is getting married tomorrow and she's having a mega meltdown. But sssh! I've just found a ransom note, pushed through the letter box, saying Uncle Tony, Bindi's husband-to-be, has been kidnapped, and will only be freed if the wedding is cancelled! I have to keep this a secret otherwise it'll be panic-central... I guess it's up to me - Anisha, ACCIDENTAL DETECTIVE, to save the day."
1474959539,"School's Cancelled (Anisha, Accidental Detective - Book 2)",https://m.media-amazon.com/images/I/51orGjA6sVL._SY300_.jpg,4.8 out of 5 stars,195,8,12,English,"Anisha, Accidental Detective",263.19,2,Paperback,Serena Patel,"""An absolute joy from start to finish!"" Jennifer Killick on Anisha, Accidental Detective ""I've been working sooo hard with Milo and Govi to make our super-erupting volcano for the school science fair. I really thought we might win first prize - a trip to the National Space Centre. But now we're in BIG trouble. One minute we were in the lab practising our science demo, and the next thing we knew, our volcano exploded and flooded the corridors. School had to be cancelled! But did we really get our project so wrong - or is someone else trying to win first prize? Looks like a case for Anisha, Accidental Detective!"" Shortlisted for a Blue Peter Book Award"
1474959547,Granny Trouble,https://m.media-amazon.com/images/I/51n7TqkZXYS._SY300_.jpg,4.7 out of 5 stars,77,8,12,English,"Anisha, Accidental Detective",301,3,Paperback,Serena Patel,"Milo and I have been looking forward to this half-term for what feels like FOREVER - we're finally going to the National Space Centre, to meet a real-life space engineer! My whole family wanted to tag along and visit a festival first, where this super-famous, mega-expensive diamond is on display. But guess what? The diamond has been STOLEN! And the police think MY GRANNY did it so she's in serious TROUBLE. Someone needs to prove Granny Jas is innocent, so it looks like Milo and I might need to go UNDERCOVER. It's lucky I'm Anisha, Accidental Detective!"
1474989756,Anisha Accidental Detective Show Stoppers,https://m.media-amazon.com/images/I/51Y8PvyIQuL._SY300_.jpg,4.8 out of 5 stars,35,8,12,English,"Anisha, Accidental Detective",293.18,4,Paperback,Serena Patel,"The school show must go on, in the fourth hilarious mystery in the award-winning Anisha, Accidental Detective series!JUST ONE WEEK UNTIL SHOWTIME!I'm SO busy - our class is putting on a musical, and we only have ONE WEEK before curtain up. And, as it's nearly DIWALI, Granny Jas is cooking non-stop, and Auntie Bindi is determined to BRING THE BLING. I'm leaving the theatrics to Milo, but as the director's assistant I have LOADS to do...especially now everything is going WRONG. Even Molly the cat is forgetting her cues! Miss Jive believes the show is CURSED, but I think someone is trying to STOP THE SHOW! Time for me, ANISHA, ACCIDENTAL DETECTIVE, to step into the spotlight!Praise for the Anisha, Accidental Detective series:Winner of the Sainsbury's Children's Book Prize and of the Crimefest Best Crime Novel for ChildrenShortlisted for the Blue Peter Book Award, the British Book Awards Children's Book of the Year, and the Laugh Out Loud Book Award""DELIGHTFUL! Perfect for younger detectives - so funny and clever and sweet"" Robin Stevens, author of the Murder Most Unladylike series""An absolute joy"" Jennifer Killick, author of Crater Lake""Super funny and packed with lovable characters"" Swapna Haddow, author of Dave Pigeon"
