isbn,name_z,name_x,review_count,min_age,max_age,name_y,rating,Most Popular Series,Best Seller Series,Most Searched Tags
B007IXBWVI,Bath Time,"Tubby (Leslie Patricelli Board Books) (November 15, 2011)",523,0,1,Leslie Patricelli Board,4.8,,,
9780141374352,Flip & Flap Books,Where Is The Very Hungry Caterpillar?,1674,0,1,Eric Carle,4.8,1,,
9781409530558,Interactive Books,"Christmas (September 1, 2011)",929,0,1,Baby's Very First Books,4.6,,,
9781409581291,Interactive Books,Baby's Very First Slide and See Under the Sea,150,0,1,Baby's Very First Books,4.5,,,
9781474921725,Interactive Books,"Baby's Very First Slide and See Zoo (October 20, 2016)",133,0,1,Baby's Very First Books,4.6,,,
9781474968713,Interactive Touch & Feel,"Don't Tickle the Hippo! (Touchy-Feely Sound Books) (October 31, 2019)",726,0,1,Touchy-feely sound books,4.8,,,Sound Books
9781474968720,Interactive Touch & Feel,"Don't Tickle the Lion! (Touchy-Feely Sound Books) (October 31, 2019)",714,0,1,Touchy-feely sound books,4.7,,,Sound Books
9781474981323,Interactive Touch & Feel,"Don't tickle the Pig ! (May 27, 2021)",205,0,1,Touchy-feely sound books,4.8,,,
9781474981026,Interactive Touch & Feel,"Don't tickle the Tiger ! (July 8, 2021)",200,0,1,Touchy-feely sound books,4.8,,,
9781474976756,Interactive Touch & Feel,"Don't Tickle The Bear! (Touchy-Feely Sound Books) (July 8, 2021)",183,0,1,Touchy-feely sound books,4.8,,,
9781474994682,Interactive Touch & Feel,"Don't Tickle the Polar Bear! (Touchy-feely sound books): 1 (October 14, 2021)",110,0,1,Touchy-feely sound books,4.6,,,
9781474981330,Interactive Touch & Feel,"Don't Tickle the Crocodile! (Touchy-Feely Sound Books) (April 29, 2021)",87,0,1,Touchy-feely sound books,4.8,,,
9781474990684,Interactive Touch & Feel,Don't Tickle the Monkey! (Touchy-feely sound books),86,0,1,Touchy-feely sound books,4.7,,,
9781801314206,Interactive Touch & Feel,Don't Tickle the Elephant!,26,0,1,Touchy-feely sound books,4.7,,,
9781788439251,Magic & Fantasy,"Never Touch a Grumpy Elf! (October 1, 2020)","1,199",0,1,Never Touch a,4.9,1,,
9781800582682,Magic & Fantasy,"Never Touch a Grumpy Bunny! (February 1, 2021)","1,035",0,1,Never Touch a,4.9,1,,
9781529002843,Monster & Dinosaurs ,"Dinosaurs (My First Touch and Find) (March 21, 2019)",25,0,1,My First Touch and Find,4.8,,,
9781788439831,Monster & Dinosaurs ,"Never Touch the Dinosaurs (September 1, 2019)","4,694",0,1,Never Touch a,4.8,1,,Touch & Feel
9781788436601,Monster & Dinosaurs ,"Never Touch a Dinosaur! (Read and Play) (September 1, 2019)","1,676",0,1,Never Touch a,4.8,1,,
9781789478846,Monster & Dinosaurs ,"Never Touch a Dragon! (September 1, 2020)","1,597",0,1,Never Touch a,4.9,1,,
9781789478822,Monster & Dinosaurs ,"Never Touch a Monster! (September 1, 2020)","1,146",0,1,Never Touch a,4.9,1,,
9781789477061,Monster & Dinosaurs ,"Never Touch the Monsters! (Never Touch a) (August 1, 2020)",800,0,1,Never Touch a,4.9,,,
9781789473810,Monster & Dinosaurs ,"Never Touch a T. Rex! (March 1, 2020)",352,0,1,Never Touch a,4.5,,,
9781789470277,Monster & Dinosaurs ,"Never Touch a Dinosaur Sticker Activity Book (September 1, 2019)",3,0,1,Never Touch a,5,,,
9780746097847,Monster & Dinosaurs ,"Noisy Dinosaurs (March 27, 2009)",507,0,1,Noisy Books,4.6,,,Sound Books
9781509852574,Nature Exploration,Sea (My First Touch and Find),70,0,1,My First Touch and Find,4.5,,,Touch & Feel
9781529002850,Nature Exploration,"Beach (My First Touch and Find) (May 30, 2019)",55,0,1,My First Touch and Find,4.7,,,Touch & Feel
9781509852536,Nature Exploration,Farm,36,0,1,My First Touch and Find,4.7,,,
9781509852543,Nature Exploration,Park,31,0,1,My First Touch and Find,4.8,,,
9781529002836,Nature Exploration,"Jungle (My First Touch and Find) (March 21, 2019)",23,0,1,My First Touch and Find,4.7,,,
9781409524540,Nature Exploration,Noisy Farm,"1,566",0,1,Noisy Books,4.7,,,Sound Books
9780794542054,Nature Exploration,Farm Sounds,"1,236",0,1,Noisy Books,4.8,,,Sound Books
9780746098981,Nature Exploration,"Noisy Jungle (Usborne Busy Sounds) (Noisy Books) (February 27, 2009)",404,0,1,Noisy Books,4.5,,,
9780746086537,Nature Exploration,"Farmyard Tales Noisy Tractor (July 27, 2008)",43,0,1,Noisy Books,4.4,,,
9781409597704,Nature Exploration,Jungle Sounds,"1,217",0,1,Sound Books,4.7,,,Sound Books
9781409597698,Nature Exploration,Garden Sounds,"1,183",0,1,Sound Books,4.7,,,Sound Books
B007I6NYDE,Opposites,"Yummy Yucky (Leslie Patricelli Board Books) (November 15, 2011)","1,783",0,1,Leslie Patricelli Board,4.8,,,Good Habits
B007I6NYY8,Opposites,"Big Little (Leslie Patricelli Board Books) (November 15, 2011)",517,0,1,Leslie Patricelli Board,4.8,,,
B01J1XIEP4,Professions & Career,"Baby Loves Aerospace Engineering! (Baby Loves Science Book 1) (October 4, 2016)",725,0,1,Baby Loves,4.7,,,S.T.E.A.M. Learning
B0796D8ZJC,Professions & Career,"Baby Loves Structural Engineering! (Baby Loves Science Book 8) (November 6, 2018)",422,0,1,Baby Loves,4.8,,,S.T.E.A.M. Learning
B07WCKL9HR,Professions & Career,"Baby Loves Political Science: Democracy! (Baby Loves Science) (April 7, 2020)",183,0,1,Baby Loves,4.8,,,
9781623541491,Professions & Career,"Baby Loves Scientists (Baby Loves Science) (October 15, 2019)",82,0,1,Baby Loves,4.8,,,S.T.E.A.M. Learning
B08P466JKF,Professions & Career,"Baby Loves Electrical Engineering on Christmas! (Baby Loves Science) (August 24, 2021)",76,0,1,Baby Loves,4.6,,,S.T.E.A.M. Learning
B082S1HN8B,Professions & Career,"Baby Loves Political Science: Justice! (Baby Loves Science) (September 15, 2020)",70,0,1,Baby Loves,4.7,,,Learning Times
B08D8JJXYF,Professions & Career,"Baby Loves Political Science: Congress! (April 13, 2021)",20,0,1,Baby Loves,4.5,,,S.T.E.A.M. Learning
B08D8JM66Z,Professions & Career,"Baby Loves Political Science: The Presidency! (April 13, 2021)",10,0,1,Baby Loves,4.8,,,
9781338312232,Professions & Career,"Future Engineer (Future Baby) (September 17, 2019)",392,0,1,Future Baby,4.8,,,S.T.E.A.M. Learning
9781338312225,Professions & Career,"Future Astronaut (Future Baby) (June 25, 2019)",224,0,1,Future Baby,4.8,,,S.T.E.A.M. Learning
9781338312256,Professions & Career,"Future Doctor (Future Baby) (4) (October 20, 2020)",107,0,1,Future Baby,4.7,,,
9781338312249,Professions & Career,"Future President (Future Baby) (3) (December 26, 2019)",83,0,1,Future Baby,4.8,,,
B0776JB5W1,Science & Learning ,"Baby Loves Coding! (Baby Loves Science Book 6) (June 5, 2018)",860,0,1,Baby Loves,4.6,,,S.T.E.A.M. Learning
B073C8QVY6,Science & Learning ,"Baby Loves Quantum Physics! (Baby Loves Science Book 4) (September 5, 2017)",461,0,1,Baby Loves,4.6,,,S.T.E.A.M. Learning
B01J1XIETK,Science & Learning ,"Baby Loves Quarks! (Baby Loves Science Book 2) (October 4, 2016)",419,0,1,Baby Loves,4.8,,,S.T.E.A.M. Learning
B0776K9X2Y,Science & Learning ,"Baby Loves Gravity! (Baby Loves Science Book 5) (May 1, 2018)",413,0,1,Baby Loves,4.8,,,S.T.E.A.M. Learning
