ISBN13,Role,Name
9781416947370,Author,Rod Campbell
9780241003008,Author,Eric Carle
9781841215655,Author,Giles Andreae
9781841215655,Author,Guy Parker-Rees
9780152067045,Author,Judy Horacek
9780152067045,IllustratorAuthor,Mem Fox
9780859537278,Illustrated by,Pam Adams
9780996099936,Author,Carol McCloud
9780996099936,Illustrator,David Messing
9781409549475,Author,Louie Stowell
9781409549475,Illustrator,Kate Leake
9780007513765,Author,Drew Daywalt
9780007513765,Illustrator,Oliver Jeffers
9780142405802,Author,Julia Donaldson
9780142405802,Illustrator,Axel Scheffler
9780142501122,Author,Julia Donaldson
9780142501122,Illustrator,Axel Scheffler
9780545261241,Author,Craig Smith
9780545261241,Illustrator,Katz Cowley
9781406331264,Author,Mem Fox
9781406331264,Illustrator,Helen Oxenbury
9780007215997,Author,Judith Kerr
9781409303183,Author,Peppa Pig
9780385376716,Author,Emily Winfield Martin
9780761157281,Author,Barney Saltzberg
9781406338539,Author,Jon Klassen
9780679882817,Author,Dr. Seuss
9780141385112,Author,Eric Carle
9781847382108,Author,Claire Freedman
9781847382108,Illustrator,Ben Cort
9780152632243,Author,Mem Fox
9780142403877,Author,Julia Donaldson
9780152060305,Author,Mem Fox
9780152060305,Illustrator,Leslie Staub
9780723263661,Author,Eric Hill
9780811879545,Author,Herve Tullet
9780670882786,Author,Janet Ahlberg
9780670882786,IllustratorAuthor,Allan Ahlberg
9780099408390,Author,Maurice Sendak
9780007263899,Author,Oliver Jeffers
9780142407547,Author,Julia Donaldson
9780142407547,Illustrator,Axel Scheffler
9781846432767,Illustrated by,Rachel Fuller
9780694003617,Author,Margaret Wise Brown
9781844285136,Author,Mo Willems
9780312601553,Author,Nancy Tillman
9781409550259,Author,Rob Lloyd Jones
9781409550259,Illustrator,Stefano Tognetti
9780061900624,Author,Joanna Cole
9780061900624,IllustratorAuthor,Rosalinda Kightley
9783314015441,Author,Marcus Pfister
9780340903179,Author,Virginia Ironside
9780340903179,Illustrator,Frank Rodgers
9781409523383,Author,Rob Lloyd Jones
9781409523383,Illustrator,Benedetta Giaufret
9781409523383,Illustrator,Enrica Rusina
9781409301769,Author,Peppa Pig
9781409306177,Author,Peppa Pig
9780141337425,Author,Allan Ahlberg
9780141337425,IllustratorAuthor,Janet Ahlberg
9781444910865,Author,Kes Gray
9781444910865,Illustrator,Jim Field
9780230747722,Author,Rod Campbell
9781419713101,Author,Jo Witek
9781419713101,Illustrator,Christine Roussey
9780152010669,Author,Mem Fox
9780152010669,Illustrator,Jane Dyer
9780007150342,Author,Oliver Jeffers
9780140569322,Author,Eric Carle
9780241137291,Author,Eric Carle
