ISBN13,Ratings,Age Group
9781846465901,4.67,6-8
9781407162614,4.48,6-8
9780333493595,4.28,6-8
9780794514662,4.27,6-8
9781783123681,4.25,6-8
9780744586602,4.21,6-8
9781444965575,4.2,6-8
9780008259679,4.2,6-8
9780008164652,4.18,6-8
9781597073486,4.17,6-8
9780448442556,4.16,6-8
9781850512660,4.14,6-8
9781405293747,4.13,6-8
9781405239585,4.11,6-8
9780142410332,4.09,6-8
9780141333748,4.06,6-8
9780141322735,4.03,6-8
9780142410356,4.03,6-8
9780142413838,4.03,6-8
9780861631940,4.03,6-8
9780141382418,4.03,6-8
9780141322636,4.02,6-8
9780745945248,4,6-8
9781680524628,4,6-8
9781474868518,4,6-8
9781474806381,4,6-8
9781472381996,4,6-8
9780746076941,4,6-8
9780007467686,4,6-8
9781474822589,3.95,6-8
9781407163413,3.95,6-8
9781444913439,3.9,6-8
9781444913446,3.85,6-8
9780603570582,3.7,6-8
9780794529987,3.62,6-8
9780857803054,3.4,6-8
9780340997130,3,6-8
9780241368206,3,6-8
9781444924862,4.61,9-11
9781536208689,4.45,9-11
9781405268035,4.39,9-11
9780857533197,4.38,9-11
9780545481946,4.37,9-11
9781405270168,4.31,9-11
9780857071187,4.28,9-11
9780141373027,4.27,9-11
9780060871215,4.26,9-11
9780545103671,4.26,9-11
9781405244763,4.25,9-11
9780141341880,4.24,9-11
9781405244732,4.22,9-11
9780440868354,4.21,9-11
9789351032991,4.19,9-11
9780007453566,4.18,9-11
9780141331010,4.16,9-11
9780340917763,4.16,9-11
9780763648633,4.16,9-11
9781405224086,4.16,9-11
9781405230384,4.13,9-11
9780545103718,4.12,9-11
9781405272926,4.11,9-11
9781405275699,4.11,9-11
9781444908657,4.1,9-11
9781598200348,4.1,9-11
9780006751038,4.09,9-11
9781406335859,4.09,9-11
9781402279959,4.06,9-11
9780007182466,4.05,9-11
9781402259340,4.05,9-11
9781406335835,4.05,9-11
9780007323135,4.04,9-11
9780763627881,4.01,9-11
9780861635917,3.97,9-11
9780007478330,3.94,9-11
9780861636167,3.85,9-11
9780385606066,3.7,9-11
9780603570490,5,0-5
9781474852906,5,0-5
9781781866382,5,0-5
9781910114513,5,0-5
9780241375877,5,0-5
9780333633397,4.67,0-5
9781405462945,4.67,0-5
9780670886241,4.51,0-5
9780241262641,4.5,0-5
9781409311744,4.5,0-5
9781445409955,4.5,0-5
9781472379153,4.5,0-5
9780857631930,4.45,0-5
9781338042887,4.44,0-5
9781409310341,4.44,0-5
9781338163001,4.44,0-5
9780803730472,4.43,0-5
9780571302567,4.41,0-5
9780142405802,4.38,0-5
9780545393515,4.38,0-5
9780545825597,4.38,0-5
9781509830442,4.38,0-5
