ISBN 13,Amazon Category,Reviews,Rating,Book Name,Author,Publishing Date,Quality,Price,Age Group,1113
9780141345659,100 Lifetime Adults,"54,718",4.6,The Fault in Our Stars (Movie Tie-in),Hardcover,28 May 2014,Paperback,333,Mixed,https://www.bookdepository.com/Fault-Our-Stars-John-Green/9780141355078?ref=grid-view&qid=1656929796657&sr=1-1
9780141036137,100 Lifetime Adults,"41,354",4.6,Animal Farm,George Orwell,15 March 2011,Paperback,116,Mixed,https://www.bookdepository.com/Animal-Farm-George-Orwell/9780141036137?ref=grid-view&qid=1656929383957&sr=1-1
9780099560432,100 Lifetime Adults,"38,517",4.6,Ready Player One: The global bestseller and now a major Steven Spielberg movie,Ernest Cline,5 April 2012,Paperback,345,Mixed,https://www.bookdepository.com/Ready-Player-One-Ernest-Cline/9780099560432?ref=grid-view&qid=1656929370489&sr=1-1
9781471403989,100 Lifetime Adults,"36,169",4.4,We Were Liars,E. Lockhart,1 January 2014,Paperback,196,Ages: 12 years and up,https://www.bookdepository.com/We-Were-Liars-E-Lockhart/9781471403989?ref=grid-view&qid=1656930549063&sr=1-1
9780007350773,100 Lifetime Adults,"30,003",4.5,PRIDE AND PREJUDICE (Collins Classics),Jane Austen,1 April 2010,Paperback,207,Ages: 8 years and up,https://www.bookdepository.com/Pride-Prejudice-Jane-Austen/9780007350773?ref=grid-view&qid=1656929837033&sr=1-1
9781499389234,100 Lifetime Adults,"29,625",4.4,Fahrenheit 451: A Novel,Ray Bradbury,1 May 2012,Mass Market Paperback,399,Mixed,https://www.bookdepository.com/Fahrenheit-451-Robert-Crayola/9781499389234?ref=grid-view&qid=1656929897232&sr=1-1
9780552779739,100 Lifetime Adults,"28,389",4.6,The Book Thief (Definitions),Markus Zusak,3 January 2008,Paperback,373,Mixed,https://www.bookdepository.com/Book-Thief-Markus-Zusak/9780552779739?ref=grid-view&qid=1656929527898&sr=1-2
9780143129400,100 Lifetime Adults,"26,983",4.4,Lord of the Flies (Ff Classics),William Golding,5 April 1999,Paperback,267,Mixed,https://www.bookdepository.com/Lord-Flies-William-Golding/9780143129400?ref=grid-view&qid=1656929175694&sr=1-1
9780141315188,100 Lifetime Adults,"26,539",4.6,The Diary of a Young Girl (General Press),Anne Frank,1 December 2011,Paperback,199,Mixed,https://www.bookdepository.com/Diary-Young-Girl-Anne-Frank/9780141315188?ref=grid-view&qid=1656930356880&sr=1-1
9780141368887,100 Lifetime Adults,"26,070",4.8,The Outsiders (The Originals),S E Hinton,4 August 2016,Paperback,303,Mixed,https://www.bookdepository.com/Outsiders-S-E-Hinton/9780141368887?ref=grid-view&qid=1656929353414&sr=1-1
