ISBN13,Image,Name,Rating,Reviews,Format,Series,Language,Price,Description
9781009178969,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0091/9781009178969.jpg,"Communicate with Cambridge Level 5 Coursebook with AR APP, eBook and Poster : A Comprehensive English Course",0,0,Mixed media product,1560426,English,₹ 924.03,"Communicate with Cambridge is a comprehensive course for the teaching and learning of English for classes 1-8. The course aims to develop communication skills in students by integrating the essential language skills of listening, speaking, reading and writing. It has well-graded grammar and vocabulary sections to help students grasp core language structures and enrich their expression. The revised edition has been enhanced based on user feedback as well as the requirements of both the latest curriculum as well as the National Education Policy (NEP), 2020. show more"
9780571302543,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571302543.jpg,Squishy McFluff: Meets Mad Nana Dot,4.2,54,Paperback,1540260,English,₹ 733.24,"From the funniest voice in young fiction today, the third in this irresistible series for young readers about imaginary friends in hilarious rhyming text and with adorable illustrations by Ella Okstad. Oh yippee! Young Ava is very excited To see Nana Dot (who's rather short-sighted). Nan's fun! And she's funny! And if that's not enough, Can Ava's Mad Nana SEE Squishy McFluff? Ava and Squishy are up to their normal no-good when Dad whisks them off to Nana Dot's - Mum's got to go to the hospital to bring back Ava a baby sister! But Mad Nana Dot's lost her glasses so can't SEE Squishy McFluff . . . and a trip to the hairdresser's, the post office, the fishmonger all end in adorable disaster. Told in full colour throughout, this is the perfect stepping stone from picture books to older fiction. 'A surefire hit.' Guardian 'Charming.' The Times 'Bound to ensure catisfaction.' Independent 'Cleverly bridging the gap between picture books and longer fiction, the lovable Squishy is certain to be a success with under-sevens.' BookTrust 'In delightful rhyme reminiscent of Dr Seuss, this charmingly illustrated book is bound to become a bedtime fave.' Gurgle show more"
9781550379662,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5503/9781550379662.jpg,Grandma,4,7,Board book,1539935,English,₹ 728.97,This innovative series grew out of a desire to provide all children with the opportunity to see themselves within the books they are reading and to identify with the children and families they see. The diversity of today's families is clearly captured. The simple text and engaging photographs explore the relationship between very young children and their environment. Grandma explores a young child's world using photographs of a variety of children interacting with their grandmas. show more
9781550375107,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5503/9781550375107.jpg,My Family,3.17,6,Board book,1539935,English,₹ 728.97,"This innovative series grew out of a desire to provide all children with the opportunity to see themselves within the books they are reading and to identify with the children and families they see. The diversity of today's families is clearly captured. The simple text and engaging photographs explore the relationship between very young children and their environment. Each book is illustrated with realistic and comforting photographs. Children from various familial, cultural, and ethnic backgrounds are interacting with their fathers. The simple text and engaging photos invite and encourage discussion between adult and child as they have fun exploring the images together. show more"
9781550378177,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5503/9781550378177.jpg,My Friends,3.5,2,Board book,1539935,English,₹ 728.97,"The Talk-About-Books series is designed to enhance a baby or toddler's first collection of books. My Friends explores the fun of playmates and siblings. Each book is illustrated with realistic and comforting photographs. Children from various familial, cultural, and ethnic backgrounds experience friends in their many wonderful forms. The simple text and engaging photos invite and encourage discussion between adult and child as they have fun exploring the images together. show more"
9781584764908,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5847/9781584764908.jpg,iBaby: Float Along Baby Dolphins,0,0,Mixed media product,1505459,English,"₹ 1,032.83","Bath time comes alive with these floatable bath books that teach early-learning concepts and include three floatable toys stored in an attached mesh tube. This adorable bath book comes with three rubber dolphins. Sweet, repetitive text introduces colors and simple shapes. show more"
9780141375632,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141375632.jpg,One Of Us Is Lying,4.01,"542,914",Paperback,1491712,English,₹ 799.72,"The international bestselling YA thriller by acclaimed author, Karen M. McManus - NOW A MAJOR NETFLIX SERIES. Five students walk into detention. Only four come out alive. Yale hopeful Bronwyn has never publicly broken a rule. Sports star Cooper only knows what he's doing in the baseball diamond. Bad boy Nate is one misstep away from a life of crime. Prom queen Addy is holding together the cracks in her perfect life. And outsider Simon, creator of the notorious gossip app at Bayview High, won't ever talk about any of them again. He dies 24 hours before he could post their deepest secrets online. Investigators conclude it's no accident. All of them are suspects. Everyone has secrets, right? What really matters is how far you'll go to protect them. 'Tightly plotted and brilliantly written, with sharp, believable characters, this whodunit is utterly irresistible' - HEAT 'Twisty plotting, breakneck pacing and intriguing characterisation add up to an exciting single-sitting thrillerish treat' -THE GUARDIAN 'A fantastic murder mystery, packed with cryptic clues and countless plot twists. I could not put this book down' - THE SUN 'Pretty Little Liars meets The Breakfast Club' - ENTERTAINMENT WEEKLY show more"
9781368003551,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3680/9781368003551.jpg,We Don't Eat Our Classmates,4.5,"8,235",Hardback,1490202,English,"₹ 1,841.93","It's the first day of school for Penelope Rex, and she can't wait to meet her classmates. But it's hard to make human friends when they're so darn delicious! That is, until Penelope gets a taste of her own medicine and finds she may not be at the top of the food chain after all. . . . Readers will gobble up this hilarious new story from award-winning author-illustrator Ryan T. Higgins. show more"
9781784752910,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7847/9781784752910.jpg,Star Wars: The Force Awakens,3.71,"16,439",Paperback,1486877,English,"₹ 1,006.66","More than thirty years ago, Star Wars burst onto the big screen and became a cultural phenomenon. Now the next adventures in this blockbuster saga are poised to captivate old and new fans alike-beginning with the highly anticipated Star Wars: The Force Awakens. And alongside the cinematic debut comes the thrilling novel adaptation. Set years after Return of the Jedi, this stunning new action-packed adventure rockets us back into the world of Princess Leia, Han Solo, Chewbacca, C-3PO, R2-D2, and Luke Skywalker, while introducing a host of exciting new characters. Darth Vader may have been redeemed and the Emperor vanquished, but peace can be fleeting, and evil does not easily relent. Yet the simple belief in good can still empower ordinary individuals to rise and meet the greatest challenges. So return to that galaxy far, far away, and prepare yourself for what happens when the Force awakens. . . . show more"
9780099410584,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0994/9780099410584.jpg,Star Wars: Episode III: Revenge of the Sith,4.2,"16,224",Paperback,1486877,English,"₹ 1,006.66","The turning point for the entire Star Wars saga is at hand. . . . As combat escalates across the galaxy, the stage is set for an explosive endgame: Obi-Wan undertakes a perilous mission to destroy the dreaded Separatist military leader, General Grievous. Supreme Chancellor Palpatine continues to strip away constitutional liberties in the name of security while influencing public opinion to turn against the Jedi. And a conflicted Anakin fears that his secret love, Senator Padme Amidala, will die. Tormented by unspeakable visions, Anakin edges closer to the brink of a galaxy-shaping decision. It remains only for Darth Sidious to strike the final staggering blow against the Republic-and to ordain a fearsome new Sith Lord: Darth Vader. Based on the screenplay of the final film in George Lucas's epic saga, bestselling Star Wars author Matthew Stover's novel crackles with action, captures the iconic characters in all their complexity, and brings a space opera masterpiece full circle in stunning style. show more"
