ISBN13,Role,Name
9780001982611,By (author),Enid Blyton
9780006531203,By (author),Nathaniel Philbrick
9780006716679,By (author),C. S. Lewis
9780006751038,By (author),Michael Morpurgo
9780006753438,By (author),Michael Bond
9780006753438,", Illustrated by",Peggy Fortnum
9780006753452,By (author),Michael Bond
9780006753452,", Illustrated by",Peggy Fortnum
9780006753773,By (author),Michael Bond
9780006753773,", Illustrated by",Peggy Fortnum
9780006753797,By (author),Michael Bond
9780006753797,", Illustrated by",Peggy Fortnum
9780007137282,By (author),Jane Yolen
9780007137282,", Illustrated by",Mark Teague
9780007150366,By (author),Oliver Jeffers
9780007158560,By (author),Dr. Seuss
9780007174164,By (author),Michael Bond
9780007174164,", Illustrated by",Peggy Fortnum
9780007175222,By (author),Dr. Seuss
9780007182466,By (author),Michael Morpurgo
9780007182466,", Illustrated by",Michael Foreman
9780007203550,By (author),J. R. R. Tolkien
9780007203567,By (author),J. R. R. Tolkien
9780007215997,By (author),Judith Kerr
9780007218677,By (author),Louise Rennison
9780007263486,By (author),Norton Juster
9780007263516,By (author),Lois Lowry
9780007297801,By (author),Lemony Snicket
9780007297801,", Read by",Tim Curry
9780007318018,By (author),Sophie Smallwood
9780007318018,", Created by",Enid Blyton
9780007318018,", Illustrated by",Robert Tyndall
9780007323111,By (author),C. S. Lewis
9780007323128,By (author),C. S. Lewis
9780007323135,By (author),C. S. Lewis
9780007348695,By (author),Dr. Seuss
9780007350773,By (author),Jane Austen
9780007350827,By (author),Lewis Carroll
9780007350902,By (author),Henry Rider Haggard
9780007351046,By (author),Jules Verne
9780007353095,By (author),Lauren Conrad
9780007413577,By (author),Dr. Seuss
9780007414178,By (author),Dr. Seuss
9780007414208,By (author),Dr. Seuss
9780007420421,By (author),Veronica Roth
9780007432394,By (author),Lincoln Peirce
9780007449422,By (author),Johanna Spyri
9780007453566,By (author),David Walliams
9780007453566,", Illustrated by",Tony Ross
9780007455331,By (author),Katherine Applegate
9780007455935,By (author),Dr. Seuss
9780007460359,By (author),Dr. Seuss
9780007466696,By (author),Kiera Cass
9780007467686,By (author),Jamie Rix
9780007467686,", Illustrated by",Sam Hearn
9780007478330,By (author),Ian Whybrow
9780007478330,", Illustrated by",Sam Hearn
9780007486441,By (author),Michael Morpurgo
9780007513765,By (author),Drew Daywalt
9780007513765,", Illustrated by",Oliver Jeffers
9780007523160,By (author),John Green
9780007524976,By (author),Veronica Roth
9780007553631,By (author),Eric Litwin
9780007553631,", Created by",James Dean
9780007553655,By (author),Eric Litwin
9780007553655,", Created by",James Dean
9780007554546,By (author),David Baddiel
9780007554546,", Illustrated by",Jim Field
9780007577316,By (author),One Direction
9780007581863,By (author),David Walliams
9780007581863,", Illustrated by",Tony Ross
9780007584611,By (author),Oliver Jeffers
9780007584642,By (author),Veronica Roth
9780007925391,By (author),L. M. Montgomery
9780007947164,By (author),Dr. Seuss
9780007977000,By (author),Daniel Howarth
9780008108427,By (author),Sabaa Tahir
9780008124441,By (author),Drew Daywalt
9780008124441,", Illustrated by",Oliver Jeffers
9780008134204,By (author),Collins Easy Learning
9780008151539,By (author),Collins Easy Learning
9780008151577,By (author),Collins Easy Learning
9780008151614,By (author),Collins Easy Learning
9780008151638,By (author),Collins Easy Learning
9780008158828,By (author),Kiera Cass
9780008164652,By (author),David Walliams
9780008164652,", Illustrated by",Tony Ross
9780008170868,By (author),Oliver Jeffers
9780008174897,By (author),David Walliams
9780008174897,", Illustrated by",Tony Ross
9780008195809,By (author),Michael Bond
9780008195809,", Illustrated by",R. W. Alley
9780008201470,By (author),Dr. Seuss
9780008201487,By (author),Dr. Seuss
9780008201517,By (author),Dr. Seuss
9780008201524,By (author),Dr. Seuss
9780008203894,By (author),Dr. Seuss
9780008203900,By (author),Dr. Seuss
9780008203924,By (author),Dr. Seuss
9780008223670,By (author),David Walliams
9780008223670,", Read by",Peter Serafinowicz
9780008223670,", Read by",Morwenna Banks
9780008223670,", Read by",Nitin Ganatra
9780008223670,", Read by",Ellen Thomas
9780008239985,By (author),Dr. Seuss
9780008240004,By (author),Dr. Seuss
9780008240011,By (author),Dr. Seuss
9780008240028,By (author),Dr. Seuss
9780008240035,By (author),Dr. Seuss
9780008240042,By (author),Dr. Seuss
9780008240059,By (author),Dr. Seuss
9780008240066,By (author),Dr. Seuss
9780008252632,By (author),Drew Daywalt
9780008252632,", Illustrated by",Adam Rex
9780008259679,By (author),David Walliams
9780008259679,", Illustrated by",Tony Ross
9780008266721,By (author),Laura Marsh
9780008266721,", By (author)",National Geographic Kids
9780008272036,By (author),Dr. Seuss
9780008288136,By (author),Dr. Seuss
9780008313913,By (author),Dr. Seuss
9780008333843,By (author),Ross Welford
9780008382209,By (author),Oliver Jeffers
9780008390419,By (author),Dhonielle Clayton
9780008390419,", By (author)",Sona Charaipotra
9780008422141,By (author),Ibi Zoboi
9780008422141,", By (author)",Yusef Salaam
9780008476946,By (author),Cat Stevens
9780008476946,", Illustrated by",Peter Reynolds
9780008507985,By (author),Veronica Roth
9780008508029,By (author),Soman Chainani
9780008512392,By (author),Tahereh Mafi
9780008530228,By (author),David Walliams
9780008530228,", Illustrated by",Tony Ross
9780060248024,By (author),Shel Silverstein
9780060256654,By (author),Shel Silverstein
9780060256678,By (author),Shel Silverstein
9780060256753,By (author),Shel Silverstein
9780060291693,By (author),Shel Silverstein
9780060531829,By (author),Kenneth Oppel
9780060556501,By (author),C. S. Lewis
9780060556501,", By (author)",Hiawyn Oram
9780060556501,", Illustrated by",Tudor Humphries
9780060572341,By (author),Shel Silverstein
9780060724696,By (author),Meg Cabot
9780060725112,By (author),Meg Cabot
9780060765484,By (author),C. S. Lewis
9780060766207,By (author),Joseph Delaney
9780060766207,", Illustrated by",Patrick Arrasmith
9780060798680,By (author),Uzodinma Iweala
9780060871215,By (author),Sienna Mercer
9780061229572,By (author),Wendy Lichtman
9780061448782,By (author),Michael Grant
9780061478215,By (author),Mercer Mayer
9780061478789,By (author),Diana Wynne Jones
9780061479946,By (author),Meg Cabot
9780061906220,By (author),Eric Litwin
9780061906220,", By (author)",James Dean
9780061998164,By (author),Shel Silverstein
9780062086525,By (author),Crockett Johnson
9780062086594,By (author),Grace Gilman
9780062187956,By (author),Victoria Kann
9780062198679,By (author),James Dean
9780062198709,By (author),James Dean
9780062198709,", By (author)",Kimberly Dean
9780062236968,By (author),Alyssa Satin Capucilli
9780062236968,", Illustrated by",Pat Schories
9780062269706,By (author),Jane O'Connor
9780062269706,", Illustrated by",Robin Preiss Glasser
9780062269706,", Illustrated by",Carolyn Bracken
9780062274465,By (author),Christie Matheson
9780062278784,By (author),Veronica Roth
9780062281616,By (author),Syd Hoff
9780062287342,By (author),Veronica Roth
9780062304209,By (author),James Dean
9780062334305,By (author),Herman Parish
9780062334305,", Illustrated by",Lynne Avril
9780062342409,By (author),Sona Charaipotra
9780062342409,", By (author)",Dhonielle Clayton
9780062348685,By (author),Becky Albertalli
9780062350237,By (author),Mike Berenstain
9780062377296,By (author),Vicki Cobb
9780062404282,By (author),James Dean
9780062404282,", By (author)",Kimberly Dean
9780062404312,By (author),James Dean
9780062404312,", By (author)",Kimberly Dean
9780062404527,By (author),James Dean
9780062422507,By (author),Amy Krouse Rosenthal
9780062422507,", By (author)",Paris Rosenthal
9780062422507,", Illustrated by",Holly Hatam
9780062455864,By (author),Kasie West
9780062470195,By (author),James Dean
9780062470195,", By (author)",Kimberly Dean
9780062497956,By (author),Rob Elliott
9780062497956,", Illustrated by",Gearbox
9780062562739,By (author),Raasch
9780062675279,By (author),James Dean
9780062675279,", By (author)",Kimberly Dean
9780062676283,By (author),Lauren Magaziner
9780062676399,By (author),Tahereh Mafi
9780062689948,By (author),Lisa Greenwald
9780062694256,By (author),R.L. Stine
9780062741356,By (author),Alyssa Capucilli
9780062748539,By (author),Irin Carmon
9780062819864,By (author),Veronica Roth
9780062819864,", Read by",Austin Butler
9780062819864,", Read by",Emily Rankin
9780062819864,", Read by",Erin Spencer
9780062819864,", Read by",MacLeod Andrews
9780062823700,By (author),Erin Hunter
9780062866004,By (author),Jory John
9780062866004,", Illustrated by",Pete Oswald
9780062867155,By (author),Nadia Hashimi
9780062878052,By (author),Shelby Mahurin
9780062937407,By (author),Meena Harris
9780062937407,", Illustrated by",Ana Ramirez Gonzalez
9780062954534,By (author),Jory John
9780062954534,", Illustrated by",Pete Oswald
9780062971067,By (author),LeBron James
9780062971067,", Illustrated by",Nina Mata
9780062989703,By (author),Shelby Mahurin
9780063054035,By (author),Gabrielle Union
9780063054035,", By (author)",Dwyane Wade
9780063054035,", Illustrated by",Tara Nicole Whitaker
9780063057753,By (author),Joanna Ho
9780063057753,", Illustrated by",Dung Ho
9780063057807,By (author),Erin Entrada Kelly
9780063074699,By (author),Shelby Mahurin
9780063082137,By (author),Maureen Johnson
9780063082854,By (author),Bakari Sellers
9780063082854,", Illustrated by",Reggie Brown
9780063094369,By (author),Shelby Mahurin
9780063139756,By (author),Maureen Johnson
9780063210271,By (author),Emery Lee
9780063222724,By (author),Shelby Mahurin
9780064402811,By (author),Katherine Paterson
9780064403689,By (author),Katherine Paterson
9780064407052,By (author),Gail Carson Levine
9780064430227,By (author),Crockett Johnson
9780064438681,By (author),Alma Flor Ada
9780064438681,", By (author)",Vivi Escriva
9780064470308,By (author),Harold Keith
9780064470483,By (author),Ramsey Ullman
9780064471060,By (author),C. S. Lewis
9780064471060,", Illustrated by",Pauline Baynes
9780064471084,By (author),C. S. Lewis
9780064471084,", Illustrated by",Pauline Baynes
9780064471091,By (author),C. S. Lewis
9780064471107,By (author),C. S. Lewis
9780064471107,", Illustrated by",Pauline Baynes
9780064472135,By (author),Terry Trueman
9780064472685,By (author),Diana Wynne Jones
9780099408390,By (author),Maurice Sendak
9780099410584,By (author),Matthew Stover
9780099557494,By (author),Anonymous
9780099560432,By (author),Ernest Cline
9780099572831,By (author),Mark Haddon
9780099572862,By (author),John Boyne
9780099572886,By (author),Dodie Smith
9780099572954,By (author),Frances Hodgson Burnett
9780099572961,By (author),Louisa May Alcott
9780099572985,By (author),E Nesbit
