ISBN13,Review,Author
9780545340977,I think it was awsome I loved how it shows all the geronimo stilton books,Paul Hayes
9781409303183,I think it's very important to share books with children for a very early age. My 10 months daughter loves these tiny books! She can turn the pages so easily!,Anita Romhalmi
9781409303183,"This collection comes in a mini-sized hard board quality packaging. The books are smaller than expected but am satisfied with the quality. The stories in each of the 6 books are rather short and concise, even simpler than Maisy's or Spot's in my opinion. My 4 years old daughter is still entice with this new addition. With a price like this that comes with free delivery half way across the globe, I give it a thumbs up!",May Wong
9781409308645,"terrific story, great size and price.",Jodie SCarlett
9780723271307,"My daughter loves this book, the wonderful pictures and sweet story. The size is also perfect for her little hands, so she can hold the book herself and turn the pages!",Sorina Ioana Crisan
9780723271307,"I bought this book for my 18 month old daughter who is a huge fan of the 'Peppa Pig' television show. It is a nice, sturdy edition and a pleasant Easter story for Peppa fans.",Diana Boswarva
9781409309062,"My 25 month old daughter is a huge fan of Peppa Pig, but I found 'My Daddy' too sarcastic for a child's book. I am huge fan of this series and books, but this one just missed the mark.",Diana Boswarva
9781409312154,"This is a lovely book for Peppa Pig fans to use to bond with their mother. It's sturdy, bright and familiar for little ones.",Diana Boswarva
9780723271789,I bought this book for my then 20 month old daughter to help with the shock of the arrival of her younger sister. It is my personal favourite board book from the Peppa Pig board book series and is highly recommended for Peppa Pig fans.,Diana Boswarva
9781409313205,This is a lovely book for Peppa Pig fans. I only wish that it came in a board book edition for little hands.,Diana Boswarva
9780718197193,"I purchased this book last Christmas for my then 16 month old daughter and she loves it. It is a lovely addition to any little Peppa Pig fan's library. The book is bright, sturdy and festive.",Diana Boswarva
9781409308614,"I got this peppa pig sticker book for my 2 years old daughter who loves to watch peppa pig show. This activity book is cute with stickers and all colored pages but there are 3 cutting activity pages that's just on the other side of different activity page. If you cut the page, other activity pages get cut. They should've put blank page for cutting activity pages. All the activity contents seem to be pretty boring, to me. My daughter hasn't seen this book yet so maybe it's fun for toddler kids... On the other hand, the book was delivered in 7 days which I expected longer than that. (I live in the States.)",Yuzuko Huffman
9781409306146,This is a lovely and festive board book for Peppa Pig fans. My 26 month old daughter loves it.,Diana Boswarva
9781405220989,"Tintin is a milestone in the European comics and in children litterature as well, just like Jules Verne was in his time. But don't get it wrong: the great cycle of Tintin's adventures starts with The Blue Lotus (you'll want to read The Pharaoh's Cigars in order to get the beginning of the story), in which book Herg, thanks to his Chinese friend (in real life) Chang Chong-Zhen, wrote and draw the kind of realistic yet humoristic story that would make the real grandeur of Tintin. For those who read french or dutch (hoping an english translation will be published one day), I really advise to read ""Herg: Son of Tintin"" by Benoit Peeters.",a Book Depository customer
9780746093368,1111,Tseng Shuyu
9780746071489,"This is a cool book for young kids to enjoy the feel of different textures and learn sentence structures (in this series, the sentence structures are repeated, just the nouns and adjectives change, which is great for language learning). But I found this book had less of a variety of textures compared with ""That's Not My Polar Bear"", ""That's Not My Mermaid"" or ""That's Not My Dragon"".",Vanessa Smith
9781409516828,"This book is nice, different textures to explore but it doesn't tend to hold attention as well as some other books and is fairly short. Still nice to have it on the shelf.",Leanne Thorn
9781409525486,"This is a great buy. Like all the books in this series, it is a cool book for young kids to enjoy the feel of different textures and learn sentence structures (in this series, the sentence structures are repeated, just the nouns and adjectives change, which is great for language learning). There's a wide variety in the textures presented, the illustrations are vivid and my son particularly loves the page with the dragon with the 'slimy' spots.",Vanessa Smith
9780746093696,"My girls love any books we can find in this series. The 3 year old likes to read them aloud herself, and the 8 month old loves feeling the pages.",Freya
9781409545989,"We already had an older copy of this wonderful book, so I ordered another as a gift for a friend. Although it is still a fantastic book (like all the books in this series, it is a cool book for young kids to enjoy the feel of different textures and learn sentence structures. In this series, the sentence structures are repeated, just the nouns and adjectives change, which is great for language learning), I did notice that a lot of the illustrations are now pinker!! The mermaid's 'scaly tail' has gone from a shimmery blue-green to metallic pink and several other illustrations have had other colours swapped for pink. That was disappointing. Still love the book.",Vanessa Smith
9780746080320,My 5 month and 25 month old daughters own this book and it is a lovely 'touch and feel' book. It enlightens children's senses and is durable. A great gift for newborns.,Diana Boswarva
9780746037782,"This is one of my 18 month old daughter's favourite books; has been since she was five months old! A great next step from black and white books. She loves to turn the pages of the book by herself, and is attracted to the different textures and colours. She now has quite a collection of other books in the series too. Fantastic book!",Sherryn Toomey
9780751355277,"Bought this book when my first child was a toddler. It's a fab book with nice clear photos of all the things young children know and can name or point at. 8 years and 3 children later I am buying it again as there are just no other books of this type nearly as good. My husband and I are both teachers and so very aware of childrens books, and our children have hundreds, but this is the best by far!",bonnie ash
9780756939519,amazing,diego
9780761156987,"This is more like a pamphlet than a book. Very disappointed. It may be indestructible but it has no words and no substance. I agree the pics are pretty - but in my opinion, too pretty too appeal to babies. However, I am sure my daughter will give it a good chew and be quite happy with that.",Lisa Fallon
9780606115698,"""Excellent Adventure. Endings are fab!. Enjoyed Reading. On a Scale Of 1/10 I'll Give It a 9/10.""",a Book Depository customer
9780606103589,"""Great Read. The Monsters Are Great and sad Endings. Except It's you Who chooses The Scare thats why a knocked a star off. """,a Book Depository customer
9780606086455,"""Not Really Good but The Endings Are Incredibly Scary. On a scale 1/10 I Would say a 4.""",a Book Depository customer
9780606120005,Scary and hard choices to make. You Better move out the way a tornados going to hit!. That is a choice you have to make unless the toy doll Sets fire to your house!.,a Book Depository customer
9781444011678,"The returning heroes As a child I used to love going to the library and reading all the Asterix books they had, he was my favourite better than Tintin and with his friend Obelix they were my heroes as they always beat up the invading Romans. Oh how I have missed you my old friend, but not anymore! With a new writing team, Jean-Yves Ferri and Didier Conrad and they have continued in the tradition of Rene Goscinny and Albert Uderzo. This time, Asterix and Obelix are off to Scotland to fight the Romans and collaborating Picts against the other clans. When a Pict is washed up outside their village all the women fall in love with him and the men folk cannot wait to send him back. Asterix and Obelix take him back to his clan in Scotland so he can find his love and marry her. Along the way there are all the old puns, the old wit and plenty of humour of the slapstick variety. There is plenty of fighting and then Obelix finds his joy at the end when he can fight Romans. This book is an excellent reminder as to why I originally loved the whole Asterix series and it is great to see the book back. For us of an older generation it is a return to form and we should be encouraging people to read this once again. I cannot recommend this fun book highly enough go and buy it for the kids, schools get it on your shelves today!",Paul D
9788434568280,"Buyer beware - if you are looking for the usual type of Asterix book, this is not it. It looks like a ""book of the film"" edition, with a few big pictures per page and lots of prose. Just so you know.",Jean Anderson
9781613772355,"Some of the most fun, exciting and well thought out sci-fi comics you'll ever read about the crew of a spaceship on a cruade...who just happen to be giant transforming robots. There's mysteries and action galore, but what's amazing about this stories are the character insights and how (some of) the characters develop - tailgate, swerve, cyclonus, chrome dome, even ultra magnus and yes, later on, glimmers of whirl. It's a big cast but they are so well written they each have a distinct personality that goes beyond 'red car robot, blue helicopter robot'.",Andrew Irwin
9781613772355,"Although I huge fan of Transformers since I was a kid, this series has disappointed me. I didn't even last to the third volume. Boring to death. Too bad..",Constantine Fountos
9781613775554,"Reason for Reading: I used to love the Transformers comics and cartoon plus I loved the first movie. I was never a serious reader of comic books so not hooked on storylines but did pick up various issues here and there and loved reading them. This volume is a continuation of the original series which ended in 1991, I believe. It is 21 years later and the story picks up where it left off with what has been going on in the meantime and what the crisis is now. Loose ends from issue 80 are tied up and the first issue here is numbered 81. It helps if you have read the old comics as many references are made to past events with asterisks referring you to specific issues anywhere from 1-80, though mostly #'s 75-80. As a ""guy on the street"" fan of the Transformers I loved the story, and while not all that familiar with the history knew enough of Transformer lore to understand what was going on. Fans will be thrilled with the return of many familiar faces from the past and of course, we are not disappointed with the ultimate Optimus Prime vs Megatron battle at the end and the writer's don't go easy on our hearts either with a couple of deaths which seem to come far too soon in a story just started. Seems like a series that will be great fun for fans old and new. Quite appropriate for all ages as well who can handle the robot violence. Fun.",Nicola Mansfield
9780141324906,"I couldn't see why this was in YA/Teen section in the library, cuz I'd rather call this a Children's book. It was funny though... Jeff is a good cartoonist, that made this funny at some points. This is a perfect children's book, I would bet that my little brother would love it. I felt that it got a bit too silly with the nicknames... I don't recommend it to YA readers, but It's an easy read if you just want something to read while you're at a holiday or something. There aren't any chapters in this book but it's divided into months and monday-sunday, just like a diary... It has really awesome drawings and it's really quick page turner... I didn't feel captivated with any of the characters. The story didn't have any remarkable ending either...",Sindre Ellingsen
9780141324906,"The Diary of a Wimpy Kid series is one of the funniest children's book series ever. The book itself is very well designed, with the front cover actually looking like a diary (The first line of the book: ""Let me get something straight: this is a JOURNAL, not a diary.). The cartoons on the inside of the book are also very well drawn, with the pages being lined, just like in a journal. This is the first book in a quite long series by Jeff Kinney. The story is about Greg, a self-centred boy who thinks he's going to be famous, and his day-to-day adventures. This book is an excellent read and I urge you to go and get it RIGHT NOW!",ReviewerOfReviews
9780141324913,"The Diary of a Wimpy Kid series is coming along very nicely. The first one almost made me cry because I was laughing so hard. This one, I'm sure you're delighted to hear, is as good as the first. It follows the same format (looks like a diary, lined pages), but it's missing something......zing. The first one was incredibly funny, but this one just feels like an expansion to the first. It just doesn't feel like it's own book, if you catch my drift. On the bright side it does come with a very nice Loded Diper sticker. I really like this book but it just feels a bit...repetitive.",ReviewerOfReviews
9781419705847,"I love these books. My 9- year old loves them too, of course. A great read for kids.",Mario Vega
