ISBN13,Review,Author
9781416947370,My son (10 months) loves lifting the flaps on this book. The flaps are made from a heavy material and so far has lasted well (unlike some other board books where they have been easily torn from the page).,Pauline Banh
9781416947370,"My 18 month old loves this book! It's a simple story of various animals the zoo sends the writer to have as a pet. My daughter now knows which animal is under each flap and loves to call out it's name (e.g. ""monkey!"") on each page. This is a great book, especially for children 1-3 years old.",Natalie PageWeir
9781416947370,Probably my granddaughters favourite book. She is two and a half years old.,Geoffrey Barber
9781416947370,"Bought this book for my little one who's now 9 months and he absolutely loves it. He loves lifting the flaps to see the animals so it's not just me reading the book to him, he's actively engaging too! Started when he was 5 months on this book and till now he still goes back to this book for story time. Great buy.",Sue
9781416947370,"It's always the first book that is picked off the shelf in our house by our 18 month old. Great book, great price.",Leanne Thorn
9781416947370,"This book is great Only down side is there are no names for the animals, so could be more difficult for English 2nd language. However is great as you can add your own words, as my husband likes to ...""so they sent me an... elephant from Thailand"" etc.",Anne-Maree
9780241003008,"This is a lovely board book edition of the classic story. This particular edition is smaller than the original, but I find this size more for little hands. This edition is a lovely gender neutral newborn gift.",Diana Boswarva
9780241003008,The board book is a smaller version of the original and unfortunately the finger holes have been shrunken to an unusable size :(,Anne-Maree
9780241003008,This is a great newborn baby present for young couples. Will last forever and is different from the run of the mill pastel baby clothing gift :-),Rebecca Munn
9780241003008,This is a lovely young children's book. With bright colours to keep young children's attention.,tania
9780241003008,.,Nicole McGovern
9780241003008,"""A favourite in our house. My daughter is transfixed from the 'teeny-tiny-shiny-egg' until the 'beauuuutiful butterfly' at the end. She enjoys 'helping' with the story, and in fact, while she can't read yet, pretty well knows it word for word we have read it so much. Highly recommend this book!""",a Book Depository customer
9781841215655,"our family's favorite book for almost three months now! great illustration, great story, awesome illustration! Definitely a must-have for all kids - we have 7, 4, 1 and they all love the book!",Leng Demirkol
9781841215655,Both my kids (18 months and 3 months) really enjoy being read this book. My eldest loves pointing out the different animals and my 3 month old seems to enjoy the colourful illustrations. My kids may be too young to understand and appreciate the message of the book but I know they will when they get a bit older. Recommended.,Merryn
9781841215655,"Giraffes Can't Dance engages kids with the rithmic text and colorful illustrations. It is a great book for kids to pick up rhyming words and have some fun making up their own words. The story of Gerald has good moral to it of not to judge others and finding your own individuality. Giles Andraea manage to once again create a story that is educational, fun and a definate buy.",Yvette Spangenberg
9781841215655,what a beautiful book. My daughter got this as a gift from her kindergarten 10 years ago. It is a truly lovely read Highly recommend,Paula Mulholland
9781841215655,"my 1 1/2 year old son loves this book, however, his favourite part isnt the story or the giraffe but instead the cricket that plays the violin. He's hidden on every page and the fun for my son was finding him.... it provided months of entertainment for him!!",amanda donovan
9781841215655,"The words flow so beautifully, and it sounds fantastic read aloud. The illustrations capture expressions, and have movement (perfect for a book about dancing!). The message of the story is a nice one too.",Katherine Kerr
9780152067045,"Our absolute favorite! Teaches kids lots of concepts (near sheep/far sheep), can be read in any language, kids catch on quickly and the ending is fantastically fabulous! Our 18-month-old who has a slight problem to be gentle with books completely melts at the last page and kisses the sleeping sheep ;)",Pavel Ondrejovic
9780152067045,My 18m boy loves it so much! He asks me to read it over and over everyday.,Anny Li
9780152067045,"'Where is the Green Sheep?' is a modern day children's classic. It is gorgeous, funny and simple. The illustrations are fantastic. This book is recommended for every young child's bookshelf and I would buy it in board book format for little hands.",Diana Boswarva
9780152067045,"this book is very simple .is apply for 2 years old children ,i like it very much.",Mei Huang
9780152067045,"A wonderful and compelling novel. I enjoy to read it after murdering people. Sincerely, Ryan Seacrest",George
9780152067045,"This book was given to my son who is just 2 yo and he loves the pictures and story very much. He always find them funny. This is a thin board book format, easier for little fingers.",Victoria Kwan
9780859537278,"This is a book I remember from when I was a kid and it was read to me at school, I loved it that much and so I bought it for mine. As she is only 9 months, she can't appreciate the rhymes yet but enjoys the pictures and poking her finger through the wholes.",janice
9780859537278,"..... and her 7 year old brother!!.... The cut out design of the book makes things a little more interesting for the younger kids, seeing all the animals inside the old ladys' stomach. Useful for reciting from memory when driving to keep little people calm. I like it,",Elizabeth Clarke
9780859537278,"""My daughter thinks this is a wonderful book! The repetitiveness is one of the reasons it's great for children. Both my kids like the hole in the book - it's good for poking! I have been reading this to my oldest since she was 2, she's now close to 5 and I think as time goes on, and she's become more familiar with the words she likes it even more! I expect she'll be saying it word for word with me before too long. And if anyone is worried about the PC of it - my daughter will tell you 'It's just a funny silly book!'.""",a Book Depository customer
9780142405802,"It's a lovely, rhymed story that both we as parents and the kids love ;) Beautiful illustrations, captivating flow of rhymes. We certainly recommend.",Pavel Ondrejovic
9780142405802,"This is a fantastic book! My 3 year old boy absolutely loves it, as do I! It has wonderful rhymes and beautiful pictures, which both enhance an already charming story.",Alison Kappler
9780142405802,"This is a beautiful story much loved by my son. I bought a copy as a present for a friend and was disappointed to discover when it arrived that it is a US edition, even though this is not marked on the description. Look out for US spelling ""gray"" rather than ""grey"" and the snail ""hitching a ride"" rather than ""hitching a lift"".",Sarah Wilcox
9780142501122,"Room on the Broom is another delightful rhyming book from the creators of The Gruffalo. This is a fun book to read aloud with children of all ages, but is especially good for preschoolers and lower primary school children. The illustrations are nice, and the story is funny, and I enjoy sharing this one with my kids. There is a dragon in this story, which my kids thought was a little scary the first time we read the book, but that hasn??????C/??t stopped them requesting many re-reads! This is one of our favourite picture books.",Sara Reid
9780142501122,"Both my children love this book especially after watching the story unfold on tv once. It is definitely a favourite of mine too, I love it when my 2 year old says the lines with me! A great read for the whole family.",Melissa Leader
9780142501122,This is by far my favourite book to read my 2 and 4 year old. They both love it! There's plenty of opportunity for putting on voices which my 2 year old especially enjoys. I'd highly recommned it. In fact most of Julia Donaldson's books are great to read!,Tanja Hoogenboom
9780142501122,"My children aged 2 and 4 absolutely love this book, at the moment it is requested every night. My 4 year old is at the stage of nearly being able to know it off by heart and even my two year old chimes in as we read it with ""whoosh they were gone"". What's best is that I haven't even tired of reading it every night - fantastic book!",Lyndal
9780142501122,My two kids (4yr & 2yr) love it as well as me. It is one of my favorite bedtime story. I think I even love it more than my kids.,Felicity
9780142501122,"My neighbour's five-year-old daughter asks to borrow it every time she comes over. She has been doing this for two years. As she turns the pages, a smile blooms on her face. That is enough review for me.",JY Lou Kraska
9780545261241,"Felt that the humor is rather crude for young children e.g. Donkey farts greenish gas and bird faints. The illustrations were quite disturbing to my 3 year old. She kept asking why the bird plucked out the donkey's eye, why the donkey was crippled with only three legs (a metal leg on an animal in place of a normal one can look v scary to a young child), what it means to be cranky 'because he had no coffee', why his teeth looked brownish(rotten). As this was a board book, I thought it was meant for younger children. But I found it can be quite jarring on a young child's mind.",Lizzy
