id,guid,name,image,isbn,rating,review_count,book_format,language,price,description,stock_available,amazon_bestseller,bestseller_age1,bestseller_age2,bestseller_age3,bestseller_age4,bestseller_age5,bestseller_age6,most_borrowed,borrowed_age1,borrowed_age2,borrowed_age3,borrowed_age4,borrowed_age5,borrowed_age6,suggestion_age1,suggestion_age2,suggestion_age3,suggestion_age4,suggestion_age5,suggestion_age6,tag1,series_id,age_group_1,age_group_2,age_group_3,age_group_4,age_group_5,age_group_6
1,,Everything's Amazing (sort of),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407124414.jpg,9781407124414,4.46,"5,977",Paperback,English,"₹ 1,078.79","This takes the form of Tom's battered homework diary - crammed with his doodles and stories. ""Back to school, but it's not all bad. We're entering Rooster in a dog show, the School Disco and my birthday are coming up so this term's going to be amazing! Mostly because Delia's not invited to any of these. There's only one small problem with my birthday, Granny Mavis says she's going to cook . . . uh oh!""",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
2,,Excellent Excuses (And Other Good Stuff),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407124407.jpg,9781407124407,4.42,"7,098",Paperback,English,"₹ 1,273.34",No school for two whole weeks - YEAH! I can forget ALL about lessons (and irritating things like Marcus Meldrew) and concentrate on good stuff like: Inventing new ways to annoy my sister Delia (so many). Band practice for DOGZOMBIES (with my mate Derek). Watching TV and eating caramel wafers. Eating caramel wafers and watching TV. Excellent. Unfortunately a couple of small problems called the dentist and my big weirdo sister Delia seem to be getting in the way of my BRILLIANT plans...,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
3,,The Brilliant World of Tom Gates,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/3510/9789351032991.jpg,9789351032991,4.19,"12,668",Paperback,English,"₹ 1,199.85",Not available,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
4,,Tom Gates Book #5 : Absolutely Fantastic,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/3510/9789351033035.jpg,9789351033035,4.45,"4,196",Paperback,English,"₹ 1,081.63",Not available,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
5,,Tom Gates Extra Special Treats (... not),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407145105.jpg,9781407145105,4.51,"4,626",Paperback,English,"₹ 1,062.22","It's really cold outside and we're all hoping it's going to snow. Yeah! Derek and I could make a snow Rooster and have a snowball fight (look out, Delia!). Granny Mavis has started to knit me a new winter jumper, but by the looks of things I'm not sure it's going to fit. . .",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
6,,Tom Gates: DogZombies Rule (For now),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407171340.jpg,9781407171340,4.47,"2,037",Hardback,English,"₹ 1,118.84",Here's my EXCELLENT PLAN to make DogZombies the BEST band in the WHOLE WIDE WORLD! How hard can it be? (Very.) Right now I'm going to: 1. Write more songs. (Not about teachers.) 2. Make a SPECTACULAR music video. (Easy.) 3. Get some sleep. (Tricky when you're being kept awake by LOUD NOISES.) 4. Annoy Delia. (Nothing to do with DOGZOMBIES but always FUN.),1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
7,,Genius Ideas (Mostly),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407134505.jpg,9781407134505,4.48,"5,274",Paperback,English,₹ 621.51,"Seeing Delia without her sunglasses on is a BIG shock, but that's nothing compared with the surprise Dad has in store for me with his new found fitness regime. He says he's going to compete at my Sport's Day. Shame! Meanwhile Derek, Norman and I keep practicing in DOGZOMBIES so we're really ready for the school Talent Show.",1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
8,,A Tiny Bit Lucky,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407138879.jpg,9781407138879,4.48,"4,156",Hardback,English,"₹ 1,062.22","Winner of the Roald Dahl Funny Prize, the Waterstones Children's Book Prize and the Blue Peter Best Story Book Award. Full of doodle-style illustrations. Me, Derek and Norman need some SERIOUS band practice for the ROCKWEKLY BANDBATTLE AUDITION. But I'm not panicking because we have LOADS of time... (I think?)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
9,,Yes! No (Maybe...),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407143194.jpg,9781407143194,4.47,"3,919",Hardback,English,"₹ 1,118.84","The laugh-out-loud Tom Gates is back in another brilliant instalment of Liz Pichon's bestselling illustrated series. Sometimes making up my mind isn't easy to do. Especially when my grumpy sister Delia is LOOMING over me. Mum's on a mission to TIDY UP the whole house. She says if I can't decide what to get rid of, she'll do it for me. Which would be a DISASTER! Lucky for me, The FOSSILS come to my rescue (more than once!)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
10,,Top of the Class (Nearly),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407143200.jpg,9781407143200,4.47,"3,081",Hardback,English,"₹ 1,118.84","From the winner of the Roald Dahl Funny Prize, the Best Book for Younger Readers - Red House Children's Book Award, the Waterstones Children's Book Prize 5 - 12 year-olds and the Blue Peter Best Story Book Award 2013, comes the ninth amazing instalment of this brilliant series! TIPS FOR BEING TOP OF THE CLASS (Sadly...I did NONE of these things.) 1. Stay awake in lessons (it helps.) 2. Don't draw HILARIOUS pictures of your teachers. 3. AVOID the class bully to stay out of trouble. 4. Don't let Mum and Dad write ANYTHING in your school planner. 5. Don't let your grumpy sister Delia BOSS you around. (Technically not a school issue - but still important.) I'm TRYING to get voted onto the school council as well - but thanks to the ABOVE list it's not exactly going to plan.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Tom Gates,415928,0,0,0,1,1,1
