id,guid,name,image,isbn,rating,review_count,book_order,min_age,max_age,price,for_age,grade_level,lexile_measure,pages,dimensions,publisher,publication_date,language
1883,73a99548-b19d-4e6c-9836-3eb56bf149bd,"Baby Loves the Five Senses: Hearing! (Baby Loves Science) (24 September, 2019)",https://m.media-amazon.com/images/I/512zz9hn12L._AC_US218_..jpg,9781623541026,4.9,146,10,0,2,,,,,,,,,
1884,3234e4b6-bcee-4202-b120-ae05b1f2fec4,"Baby Loves Structural Engineering! (Baby Loves Science Book 8) (6 November, 2018)",https://m.media-amazon.com/images/I/51HTsn4FlWL._AC_US218_..jpg,9781580899277,4.8,407,4,0,2,,,,,,,,,
1885,7214fb4c-6b2f-4424-a31a-1991a78e00b5,"Baby Loves Gravity! (Baby Loves Science Book 5) (1 May, 2018)",https://m.media-amazon.com/images/I/51tJOOL0upL._AC_US218_..jpg,9781580898362,4.8,398,5,0,2,,,,,,,,,
1886,be1cfdfa-55c6-41d8-9f8b-fe530b9f7c29,"Baby Loves Quarks! (Baby Loves Science Book 2) (4 October, 2016)",https://m.media-amazon.com/images/I/519G9eQhGgL._AC_US218_..jpg,9781580895408,4.8,380,6,0,2,,,,,,,,,
1887,620902e5-fa6a-46b0-a2b3-47cc15e7c61c,"Baby Loves Green Energy! (Baby Loves Science Book 7) (6 November, 2018)",https://m.media-amazon.com/images/I/61EVSOpeYgL._AC_US218_..jpg,9781580899260,4.8,311,7,0,2,,,,,,,,,
1888,f245592d-e975-433e-9818-b960f424cc88,"Baby Loves Political Science: Democracy! (Baby Loves Science) (7 April, 2020)",https://m.media-amazon.com/images/I/51XUKrS2z6L._AC_US218_..jpg,9781623542276,4.8,171,8,0,2,,,,,,,,,
1889,e0e153be-0417-4d79-9126-1df3b1ab36cc,"Baby Loves Aerospace Engineering! (Baby Loves Science Book 1) (4 October, 2016)",https://m.media-amazon.com/images/I/51FcWm1nCNL._AC_US218_..jpg,9781580895415,4.7,676,2,0,2,,,,,,,,,
1890,154c9cac-9408-459f-81ee-565f5626063e,"Baby Loves Coding! (Baby Loves Science Book 6) (5 June, 2018)",https://m.media-amazon.com/images/I/61cOruNfSjL._AC_US218_..jpg,9781580898843,4.5,809,1,0,2,,,,,,,,,
1891,c4e4c98c-ce04-4ae9-a585-29df4fa966c9,"Baby Loves Quantum Physics! (Baby Loves Science Book 4) (5 September, 2017)",https://m.media-amazon.com/images/I/51eb9QX6kGL._AC_US218_..jpg,9781580897693,4.5,425,3,0,2,,,,,,,,,
1892,78059dc9-70eb-43a1-985d-28b7e0b8287c,"Baby Loves Thermodynamics! (Baby Loves Science Book 3) (5 September, 2017)",https://m.media-amazon.com/images/I/51hmdjtpSmL._AC_US218_..jpg,9781580897686,4.5,170,9,0,2,,,,,,,,,
1894,3aa88c15-347e-479b-bec2-e84702f345a3,"Baby Touch and Feel: Tractor (29 November, 2010)",https://m.media-amazon.com/images/I/51Hx0IB796L._AC_US218_..jpg,9780756671327,4.8,326,13,0,2,,,,,,,,,
1863,873ab2f1-aea4-47d0-b4a0-927d9a7ee3cd,The Monster at the End of This Book,https://m.media-amazon.com/images/I/61Xs6x5WOwL._AC_US218_..jpg,9780307010858,4.9,26941,46,0,2,,1 - 4 years,Preschool - 2,AD450L,24,6.63 x 0.21 x 8 inches,Golden Books,,English
1869,ff64ff65-9227-49b2-ab16-5380904d8c65,Dear Zoo,https://m.media-amazon.com/images/I/41RiDBtzZZL._AC_US218_..jpg,9780330512787,4.8,27273,52,0,2,,1 - 3 years,,,,6.3 x 0.59 x 6.3 inches,MacMillan Children's Books,,English
1871,71327956-c076-460f-9b70-0bca693be360,The Foot Book (The Bright and Early Books for Beginning Beginners),https://m.media-amazon.com/images/I/41dGk57DgBL._AC_US218_..jpg,9780394809373,4.8,10202,63,0,2,,1 - 4 years,,NP,36,6.75 x 0.3 x 9.31 inches,Random House Books for Young Readers,,English
1879,21696570-12ce-4daf-82cc-a75cbadbaac6,The World Needs Who You Were Made to Be,https://m.media-amazon.com/images/I/51OLw8k1-cL._AC_US218_..jpg,9781400314232,4.9,6890,64,0,1,,1 - 7 years,01-Feb,,32,9.3 x 0.36 x 11.2 inches,Thomas Nelson,,English
1878,80318666-9d97-4a4b-96f6-03b14fe4ab50,"Good Night, Little Blue Truck",https://m.media-amazon.com/images/I/510fMN61-ZL._AC_US218_..jpg,9781328852137,4.9,15004,52,0,2,,,Preschool - 3,AD460L,32,,Clarion Books,,English
1865,af0a31be-e0a3-45a6-a651-9b94353c02e8,Otis,https://m.media-amazon.com/images/I/51H1IJr-5BL._AC_US218_..jpg,9780399252488,4.9,786,64,0,1,,1 - 4 years,,AD580L,48,11.38 x 0.45 x 10.81 inches,Philomel Books,,English
1866,34c520d1-a262-40c7-b502-c3e958de1122,Corduroy,https://m.media-amazon.com/images/I/51CSQG-vbuL._AC_US218_..jpg,9780451470799,4.9,16928,69,0,2,,1 - 4 years,,600L,34,6.56 x 0.79 x 5.06 inches,Viking Books for Young Readers,,English
1870,cf7eba61-33a5-4406-ab4a-1a399c76ffa3,The Night Before Christmas (Little Golden Book),https://m.media-amazon.com/images/I/61csdekmEIL._AC_US218_..jpg,9780375863592,4.8,8676,55,0,2,,1 - 6 years,,,24,6.56 x 0.2 x 8 inches,Golden Books,,English
1877,fda32904-f735-4b0a-a4c3-cd7946efe03e,"Goodnight, Goodnight, Construction Site",https://m.media-amazon.com/images/I/61ZUsg-damL._AC_US218_..jpg,9780811877824,4.9,20970,42,0,2,,2 - 3 years,,AD610L,32,10 x 0.38 x 10.5 inches,Chronicle Books,,English
1895,a11596e5-185f-4f9d-bde1-e22df8bc2656,"Baby Touch and Feel: Animals (21 January, 2008)",https://m.media-amazon.com/images/I/51C3gQRWyuL._AC_US218_..jpg,9780756634681,4.7,10532,1,0,2,,,,IG1010L,14,5.5 x 1 x 5.5 inches,DK Children,,English
1880,a4b579be-655a-4ab5-8b0a-554489129dbf,Press Here (Herve Tullet),https://m.media-amazon.com/images/I/31w1M3ttfML._AC_US218_..jpg,9780811879545,4.8,13915,43,0,2,,2 - 4 years,,AD480L,56,8.75 x 0.5 x 8.75 inches,Chronicle Books,,English
1876,fea2a90c-3c5b-4c28-8ca9-1499a78f3c15,Llama Llama Red Pajama,https://m.media-amazon.com/images/I/6151SEgb+jL._AC_US218_..jpg,9780670059836,4.9,11063,34,0,2,,1 - 3 years,Preschool - Kindergarten,AD420L,40,,Viking Books for Young Readers,,English
1874,1ea684c8-0a07-42d2-b667-53c7a804f3fb,Giraffes Can't Dance,https://m.media-amazon.com/images/I/51e94vOiXVL._AC_US218_..jpg,9781408301982,4.8,30330,68,0,2,,2 - 6 years,,,,6.89 x 2.8 x 8.39 inches,Orchard Books,,English
1896,0386811a-3e69-4582-961d-b87f95ed3c1e,"Baby Touch and Feel: Trucks (18 February, 2008)",https://m.media-amazon.com/images/I/61Y6UTf5TrL._AC_US218_..jpg,9780756634650,4.7,2794,3,0,2,,,,,14,5.5 x 1 x 5.44 inches,DK Children,,English
1893,911f204d-e331-4ea8-9169-44ca7e1b02c6,"Baby Touch and Feel: Bunny (19 December, 2011)",https://m.media-amazon.com/images/I/51qfoGXYIdL._AC_US218_..jpg,9780756689872,4.8,1903,4,0,2,,,Preschool and up,,14,5.5 x 1.05 x 5.5 inches,DK Children,,English
