Minimum Age,Max Age,Category Order,Main Category,Book Order,ISBN 13,Image Link___,Name,Rating,Review
7,8,1,Best Seller - New York Times,1,9780007323128,https://m.media-amazon.com/images/I/51QLjDXCe-L._AC_US218_..jpg,"Lion, the Witch and the Wardrobe",4.7,"13,315"
12,12,1,Best Seller - New York Times,2,9780007341764,https://m.media-amazon.com/images/I/41zOyRV-gyL._AC_US218_..jpg,"The Giver - Essential Modern Classics [Paperback] [Jan 01, 2011] LOIS LOWRY",4.7,"27,741"
3,5,1,Best Seller - New York Times,3,9780007348695,https://m.media-amazon.com/images/I/51RwWYBoSgL._AC_US218_..jpg,THE CAT IN THE HAT,4.9,"18,953"
9,11,1,Best Seller - New York Times,4,9780007458424,https://m.media-amazon.com/images/I/51N1VLZCuZL._AC_US218_..jpg,The Hobbit,4.8,"37,846"
6,7,1,Best Seller - New York Times,5,9780008124441,https://m.media-amazon.com/images/I/51uj-dk62GL._AC_US218_..jpg,DAY THE CRAYONS CAME HOME- PB+,4.9,"5,526"
7,11,1,Best Seller - New York Times,6,9780008158286,https://m.media-amazon.com/images/I/51LPU-7wtbL._AC_US218_..jpg,PAX,4.7,"10,399"
7,8,1,Best Seller - New York Times,7,9780008164621,https://m.media-amazon.com/images/I/51l8-xr5nHL._AC_US218_..jpg,The Midnight Gang [Paperback],4.7,"8,999"
7,8,1,Best Seller - New York Times,8,9780008164706,https://m.media-amazon.com/images/I/517yXO6ipML._AC_US218_..jpg,THE ICE MONSTER,4.8,"10,450"
3,4,1,Best Seller - New York Times,9,9780008266165,https://m.media-amazon.com/images/I/41o6bQ1AXnL._AC_US218_..jpg,Here We Are Notes For Living On Planet,4.8,"5,451"
13,14,1,Best Seller - New York Times,10,9780008322052,https://m.media-amazon.com/images/I/31WugBbTqgL._AC_US218_..jpg,Animal Farm: The Internationally Best selling Classic from the Author of 1984 (Collins Classics),4.7,"42,401"
12,12,1,Best Seller - New York Times,11,9780008567125,https://m.media-amazon.com/images/I/412125v28VL._AC_US218_..jpg,Tolkien:The Fellowship of the Ring,4.8,"14,505"
3,4,1,Best Seller - New York Times,12,9780060254926,https://m.media-amazon.com/images/I/612cvg4xMFL._AC_US218_..jpg,Where the Wild Things Are: A Caldecott Award Winner,4.9,"32,987"
2,3,1,Best Seller - New York Times,13,9780061906220,https://m.media-amazon.com/images/I/51cfWcsGihL._AC_US218_..jpg,Pete the Cat: I Love My White Shoes,4.9,"10,211"
8,11,1,Best Seller - New York Times,14,9780062377012,https://m.media-amazon.com/images/I/51idhxVuQYL._AC_US218_..jpg,Pax,4.7,"10,399"
5,6,1,Best Seller - New York Times,15,9780062422507,https://m.media-amazon.com/images/I/51JSlX893aL._AC_US218_..jpg,"Dear Girl,: A Celebration of Wonderful, Smart, Beautiful You!",4.8,"8,888"
5,6,1,Best Seller - New York Times,16,9780062467768,https://m.media-amazon.com/images/I/41o4ElxdqTL._AC_US218_..jpg,The Bad Seed (The Food Group),4.7,"14,495"
13,14,1,Best Seller - New York Times,17,9780062498540,https://m.media-amazon.com/images/I/41VVZqX-UlL._AC_US218_..jpg,The Hate U Give: A Printz Honor Winner,4.8,"26,250"
3,6,1,Best Seller - New York Times,18,9780062667120,https://m.media-amazon.com/images/I/51+SVDhJwML._AC_US218_..jpg,I Am Enough,4.9,"11,470"
10,11,1,Best Seller - New York Times,19,9780062691194,https://m.media-amazon.com/images/I/51B8+RiLYZL._AC_US218_..jpg,New Kid: A Newbery Award Winner,4.7,"8,079"
5,6,1,Best Seller - New York Times,20,9780062866004,https://m.media-amazon.com/images/I/51-fsX+7ygL._AC_US218_..jpg,The Good Egg (The Food Group),4.8,"8,779"
8,9,1,Best Seller - New York Times,21,9780062991317,https://m.media-amazon.com/images/I/41Y-2DtE0+L._AC_US218_..jpg,The One and Only Bob (One and Only Ivan),4.8,"10,252"
5,6,1,Best Seller - New York Times,22,9780063080683,https://m.media-amazon.com/images/I/41CYsH0hyCL._AC_US218_..jpg,I Am Enough -,4.9,"11,470"
3,5,1,Best Seller - New York Times,23,9780099408390,https://m.media-amazon.com/images/I/61f6zFlxHEL._AC_US218_..jpg,WHERE THE WILD THINGS ARE,4.9,"32,987"
3,6,1,Best Seller - New York Times,24,9780140540567,https://m.media-amazon.com/images/I/61GWLFdwApL._AC_US218_..jpg,True Story of the Three Little Pigs,4.9,"6,254"
13,14,1,Best Seller - New York Times,25,9780141330532,https://m.media-amazon.com/images/I/41hJIiAdZpL._AC_US218_..jpg,Summer I Turned Pretty,4.5,"24,631"
10,11,1,Best Seller - New York Times,26,9780141335735,https://m.media-amazon.com/images/I/51AlD+DHttL._AC_US218_..jpg,THE SON OF NEPTUNE (HEROES OF OLYMPUS BOOK 2),4.8,"15,254"
10,11,1,Best Seller - New York Times,27,9780141335766,https://m.media-amazon.com/images/I/51mir6Py5jL._AC_US218_..jpg,Heroes Of Olympus The Mark Of Athena,4.8,"15,198"
12,12,1,Best Seller - New York Times,28,9780141346809,https://m.media-amazon.com/images/I/51BE8yvYwtL._AC_US218_..jpg,Percy Jackson and the Lightning Thief,4.7,"33,378"
9,11,1,Best Seller - New York Times,29,9780141346816,https://m.media-amazon.com/images/I/51gmLhmCQLL._AC_US218_..jpg,Percy Jackson and the Titan's Curse (Book 3),4.8,"18,559"
10,11,1,Best Seller - New York Times,30,9780141354934,https://m.media-amazon.com/images/I/51uAHDktCRL._AC_US218_..jpg,PMC A Wrinkle In Time,4.6,"14,327"
14,14,1,Best Seller - New York Times,31,9780141357034,https://m.media-amazon.com/images/I/41SImPAOXPS._AC_US218_..jpg,All the Bright Places: Movie Tie-In Edition,4.7,"13,680"
5,6,1,Best Seller - New York Times,32,9780141361796,https://m.media-amazon.com/images/I/41DLRhk8LkL._AC_US218_..jpg,Book With No Pictures,4.8,"17,411"
12,12,1,Best Seller - New York Times,33,9780141363929,https://m.media-amazon.com/images/I/510VDD-a+TL._AC_US218_..jpg,Trials Of Apollo Bk 1 The Hidden Oracle,4.7,"10,792"
5,6,1,Best Seller - New York Times,34,9780141365503,https://m.media-amazon.com/images/I/51gP543mjmL._AC_US218_..jpg,George's Marvellous Medicine,4.7,"7,413"
12,13,1,Best Seller - New York Times,35,9780141368887,https://m.media-amazon.com/images/I/41EtecRAzbL._AC_US218_..jpg,Outsiders,4.8,"32,153"
6,7,1,Best Seller - New York Times,36,9780141373348,https://m.media-amazon.com/images/I/51sXFwvXK2L._AC_US218_..jpg,The Christmasaurus,4.7,"7,168"
12,14,1,Best Seller - New York Times,37,9780141375632,https://m.media-amazon.com/images/I/41K4YyiZQ7L._AC_US218_..jpg,One Of Us Is Lying,4.6,"29,603"
7,7,1,Best Seller - New York Times,38,9780142425381,https://m.media-amazon.com/images/I/512IsvYT+4L._AC_US218_..jpg,Matilda: Broadway Tie-In,4.8,"15,796"
0,1,1,Best Seller - New York Times,39,9780152060572,https://m.media-amazon.com/images/I/41PPg2THOZL._AC_US218_..jpg,Ten Little Fingers and Ten Little Toes,4.8,"2,537"
0,2,1,Best Seller - New York Times,40,9780241017982,https://m.media-amazon.com/images/I/41waUX+835L._AC_US218_..jpg,The Very Hungry Caterpillar,4.8,"11,167"
9,11,1,Best Seller - New York Times,41,9780241389317,https://m.media-amazon.com/images/I/51j6mM+IlWL._AC_US218_..jpg,Diary of a Wimpy Kid: The Meltdown (book 13),4.8,"21,794"
8,10,1,Best Seller - New York Times,42,9780241389324,https://m.media-amazon.com/images/I/51m29DumRUL._AC_US218_..jpg,DIARY OF A WIMPY KID: THE MELTDOWN (BOOK 13),4.8,"21,794"
11,11,1,Best Seller - New York Times,43,9780241530412,https://m.media-amazon.com/images/I/51p4Z0WI2JL._AC_US218_..jpg,Rowley Jefferson's Awesome Friendly Spooky Stories,4.7,"8,274"
8,10,1,Best Seller - New York Times,45,9780241562284,https://m.media-amazon.com/images/I/51DNZzk4TNL._AC_US218_..jpg,Diary Of A Wimpy Kid (Book 1),4.7,"18,115"
0,2,1,Best Seller - New York Times,46,9780307010858,https://m.media-amazon.com/images/I/61Xs6x5WOwL._AC_US218_..jpg,The Monster at the End of This Book,4.9,"26,941"
11,11,1,Best Seller - New York Times,47,9780312367541,https://m.media-amazon.com/images/I/51JByNA2CZL._AC_US218_..jpg,A Wrinkle in Time (Time Quintet),4.6,"14,327"
12,14,1,Best Seller - New York Times,48,9780316243988,https://m.media-amazon.com/images/I/517b8+Ipn0L._AC_US218_..jpg,The Twilight Saga White Collection,4.8,"11,861"
7,7,1,Best Seller - New York Times,49,9780316381994,https://m.media-amazon.com/images/I/51FzBKG+xVL._AC_US218_..jpg,"The Wild Robot (The Wild Robot, 1)",4.8,"7,705"
6,9,1,Best Seller - New York Times,50,9780316475112,https://m.media-amazon.com/images/I/41qS2xBeBhL._AC_US218_..jpg,Little Leaders: Bold Women in Black History (Vashti Harrison),4.9,"11,963"
9,10,1,Best Seller - New York Times,51,9780330439725,https://m.media-amazon.com/images/I/41pBN8vYy-L._AC_US218_..jpg,Hatchet,4.7,"19,705"
0,2,1,Best Seller - New York Times,52,9780330512787,https://m.media-amazon.com/images/I/41RiDBtzZZL._AC_US218_..jpg,Dear Zoo,4.8,"27,273"
11,11,1,Best Seller - New York Times,53,9780345418913,https://m.media-amazon.com/images/I/61VNUSVgX9L._AC_US218_..jpg,The Hitchhiker's Guide to the Galaxy,4.5,"15,695"
12,12,1,Best Seller - New York Times,54,9780375856112,https://m.media-amazon.com/images/I/51uZYNB4+eL._AC_US218_..jpg,Inheritance: Book IV (Inheritance Cycle),4.7,"11,435"
0,2,1,Best Seller - New York Times,55,9780375863592,https://m.media-amazon.com/images/I/61csdekmEIL._AC_US218_..jpg,The Night Before Christmas (Little Golden Book),4.8,"8,676"
9,10,1,Best Seller - New York Times,56,9780375869020,https://m.media-amazon.com/images/I/41YjzRHO31L._AC_US218_..jpg,Wonder,4.8,"49,129"
10,10,1,Best Seller - New York Times,57,9780375899881,https://m.media-amazon.com/images/I/21eN+Xp5MrL._AC_US218_..jpg,Wonder,4.8,"49,129"
0,2,1,Best Seller - New York Times,58,9780385376716,https://m.media-amazon.com/images/I/51gEY86ijML._AC_US218_..jpg,The Wonderful Things You Will Be,4.9,"26,583"
10,14,1,Best Seller - New York Times,59,9780385737951,https://m.media-amazon.com/images/I/51abqQT4ajL._AC_US218_..jpg,The Maze Runner (Book 1),4.6,"17,486"
14,14,1,Best Seller - New York Times,60,9780385751537,https://m.media-amazon.com/images/I/61OX4OteXZL._AC_US218_..jpg,The Boy in the Striped Pajamas,4.7,"21,828"
3,6,1,Best Seller - New York Times,61,9780394800165,https://m.media-amazon.com/images/I/41QZuBj-CPL._AC_US218_..jpg,Green Eggs and Ham,4.9,"21,991"
3,5,1,Best Seller - New York Times,62,9780394800387,https://m.media-amazon.com/images/I/51CDMBtlLgL._AC_US218_..jpg,Fox in Socks (Beginner Books),4.8,"14,463"
0,2,1,Best Seller - New York Times,63,9780394809373,https://m.media-amazon.com/images/I/41dGk57DgBL._AC_US218_..jpg,The Foot Book (The Bright and Early Books for Beginning Beginners),4.8,"10,202"
0,1,1,Best Seller - New York Times,64,9780399252488,https://m.media-amazon.com/images/I/51H1IJr-5BL._AC_US218_..jpg,Otis,4.9,786
3,6,1,Best Seller - New York Times,65,9780399255373,https://m.media-amazon.com/images/I/51JNz57DqLL._AC_US218_..jpg,The Day the Crayons Quit,4.8,"20,784"
8,8,1,Best Seller - New York Times,66,9780439136358,https://m.media-amazon.com/images/I/51-rbiAIiRL._AC_US218_..jpg,Harry Potter and the Prisoner of Azkaban (3),4.9,"51,581"
10,14,1,Best Seller - New York Times,67,9780440237686,https://m.media-amazon.com/images/I/51fRar1PvAL._AC_US218_..jpg,The Giver (Giver Quartet),4.7,"27,741"
0,1,1,Best Seller - New York Times,68,9780448489322,https://m.media-amazon.com/images/I/41jZK5rDWpL._AC_US218_..jpg,Love from The Very Hungry Caterpillar (The World of Eric Carle),4.8,"4,338"
