id,guid,name,category_order,min_age,max_age
115,4e41268a-68a4-4237-823f-998881cc1554,Baby Loves,6,0,2
116,3e22ab31-55e1-465f-923e-b4fc78bbde9d,Baby Touch and Feel,7,0,2
117,f6de09c2-97da-4370-ae97-9e35c9cf5c1e,Baby University,8,0,3
118,720d05cb-8147-4ffc-aba1-c994bd4a409f,Chris Haughton,11,0,3
120,eb1e37fd-ec81-4816-bb9e-93b90adec30f,Eric Carle,25,0,3
121,48aff81d-0a2f-4a32-a5fd-563e71db013c,Eric Hill,26,0,3
123,e0aae3b1-52a2-4395-8ac6-8f748f393e68,"Goodnight, Goodnight, Construction Site",39,0,3
124,c2db7c9d-cc35-4f71-a270-6e780851b257,Little Blue Truck,55,0,3
125,b46eeff0-11bb-40f5-8b52-1540e2864d14,Llama Llama,56,0,3
126,1e7c9a2c-f93b-4bac-b671-d1e22c1a0fed,My Little World,61,0,2
128,4fcb3059-8327-41ab-ad1c-ddda136e05bc,The World of Dinosaur Roar!,100,0,3
129,a518bf5c-c139-45d5-a006-83c4e8db07fb,Dear Zoo & Friends,113,0,3
130,0638b079-d08f-4c7c-957e-ae5f1f74f0c7,If Animals Kissed Good Night,114,0,3
131,6b3ee113-d43e-41c7-bf8f-325111cc66e9,My First Touch and Find,115,0,2
132,8823bcbe-0d71-47e8-a32b-a85b082f3611,Pout - Pout Fish,116,0,3
133,f1c52d26-6701-4ef1-b311-41e8f2220e6d,Rod Campbell,69,1,3
134,74041c09-c795-48cc-86f8-9f57bc93e63c,Spot,72,1,3
188,919a8b17-e472-4cbf-9a6e-6c2a1a4e2747,Cat Kid Comic Club,11,7,10
122,393990c2-7ae0-490d-ac63-4d75d5a914c2,Giles Andreae,37,0,6
135,aaba911a-8094-49f9-81b5-d08eec0fed46,Julia - Axel,49,2,6
136,ff1ec3f5-ec60-4436-b70c-bf9f991d8bcf,Julia - Lynda,50,2,6
137,516c3ef7-5413-42fb-85d2-9e49ad2adbaa,Julia Donaldson,51,2,6
138,8c9cff3e-24f0-4b9f-aa03-1dcd0fba338b,Tales From Acorn Wood,74,2,5
139,3767be62-d98c-4a64-b35e-d6158f80765e,Who's In Your Book?,110,2,4
140,111e6721-05ef-4e6d-b61c-6720e22083bf,Busy Books,117,2,5
141,83189778-76bb-4687-b40c-e758a3f763b7,Campbell First Stories,118,2,5
142,020de8fd-185b-4195-b625-3061d7d79667,Little World,119,2,5
143,4b6f7a41-b11d-4785-a312-f4a2d8f82a7e,My Favourite,120,2,5
144,884b1268-adf8-430e-9a8a-af1a837a485f,My First Heroes,121,2,5
145,88947a27-f2dd-493f-9faf-c5324311d540,My Little Green World,122,2,5
146,d3e2b330-a102-4790-8b06-f712c8a914d3,National Geographic Little Kids First Big Books,123,2,5
147,a91402cb-6906-4fc5-849d-6fcd079aa9fa,Peep Inside,124,2,5
148,49a64654-4442-4db9-a4a2-a76cc8752d15,Peep Inside a Fairy Tale,125,2,5
149,cd31c4f1-31d1-435e-9aed-103d6efaf6fa,There Are 101,126,2,5
150,cfedbc80-15e5-4e36-b054-3090aaae9b74,Very First Questions and Answers,127,2,5
151,a6524ce4-3dc3-4c48-878a-ff84cd58dfb4,Big Bright Feelings,9,3,6
153,4437b263-e558-4d36-ab15-bd37e216a05e,"Dinosaurs, Aliens and Pirates",19,3,6
