ISBN13,Header,Content
9781405292382,About Adam Hargreaves,"It all started with a tickle. Roger Hargreaves' son Adam asked him what a tickle looked like. In response, Roger drew a small orange man with extraordinarily long arms that could reach anywhere and tickle anyone. Mr Tickle was born and Mr Greedy, Mr Happy, Mr Nosey, Mr Sneeze and Mr Bump soon followed. The books were an instant hit and Roger went on to create many more Mr Men and Little Miss characters which have been delighting children and adults for generations. show more"
9780857074416,About Sarah Kilbride,"Sarah Kilbride is a primary school teacher. Previously an actress, she has written several plays for children. Princess Evie's is Sarah's first picture book series. She lives in Barry, South Wales, with her husband and young daughter. Sophie Tilly began her career as a writer for IPC magazines. Now she designs and develops a range of children's products - soft toys, character dolls and decorative stationery items. Sophie lives in North Wales with her husband and three children. show more"
9780141386645,About Abie Longstaff,"Abie Longstaff (Author) Abie Longstaff is the eldest of six children and grew up in Australia, Hong Kong and France. She knows all about squabbling, chaos and bossing younger sisters around. So she logically began her career as a barrister. She started writing when her children were born. Her favourite childhood books were Hating Alison Ashley, A Little Princess, Maura's Angel and The Black Stallion and she sneakily reads them again sometimes. Abie lives in Hove with her family. Lauren Beard (Illustrator) Lauren Beard is an illustrator based in Manchester. As a child she loved drawing and reading, and would write and illustrate short stories for her two younger brothers. She has been fascinated by animals, fairy tales and folklore since childhood, when she would visit her Irish Grandma and was told to ""watch out for the fairies!"" Her work is hand-drawn and coloured both digitally and by hand. Lauren enjoys adding little details to her illustrations appealing to children and adults alike. Lauren lives with her cat, Sushi, who keeps her company when drawing. show more"
9780552561860,Review Text,"With bold line, strong colour pictures and witty, easy-to-read narrative, this is an ideal book for the newly-independent reader show more"
9780552561860,Review quote,"With bold line, strong colour pictures and witty, easy-to-read narrative, this is an ideal book for the newly-independent reader * Irish Examiner * show more"
9780552561860,About Abie Longstaff,"Abie Longstaff (Author) Abie Longstaff is the eldest of six children and grew up in Australia, Hong Kong and France. She knows all about squabbling, chaos and bossing younger sisters around. So she logically began her career as a barrister. She started writing when her children were born. Her favourite childhood books were Hating Alison Ashley, A Little Princess, Maura's Angel and The Black Stallion and she sneakily reads them again sometimes. Abie lives in Hove with her family. Lauren Beard (Illustrator) Lauren Beard is an illustrator based in Manchester. As a child she loved drawing and reading, and would write and illustrate short stories for her two younger brothers. She has been fascinated by animals, fairy tales and folklore since childhood, when she would visit her Irish Grandma and was told to ""watch out for the fairies!"" Her work is hand-drawn and coloured both digitally and by hand. Lauren enjoys adding little details to her illustrations appealing to children and adults alike. Lauren lives with her cat, Sushi, who keeps her company when drawing. show more"
9780552575195,Review Text,"The adventures of fairytale hairdresser Kittie Lacey continue in the latest instalment of this enchanted series, which reinvents traditional stories for the modern era. Abie Longstaff has created a strong role model for girls - stylish, determined and courageous... Beard's illustrations are vibrant and showcase today's multicultural world. show more"
9780552575195,Review quote,"The adventures of fairytale hairdresser Kittie Lacey continue in the latest instalment of this enchanted series, which reinvents traditional stories for the modern era. Abie Longstaff has created a strong role model for girls - stylish, determined and courageous... Beard's illustrations are vibrant and showcase today's multicultural world. * Big Issue in the North * show more"
9780552575195,About Abie Longstaff,"Abie Longstaff (Author) Abie Longstaff is the eldest of six children and grew up in Australia, Hong Kong and France. She knows all about squabbling, chaos and bossing younger sisters around. So she logically began her career as a barrister. She started writing when her children were born. Her favourite childhood books were Hating Alison Ashley, A Little Princess, Maura's Angel and The Black Stallion and she sneakily reads them again sometimes. Abie lives in Hove with her family. Lauren Beard (Illustrator) Lauren Beard is an illustrator based in Manchester. As a child she loved drawing and reading, and would write and illustrate short stories for her two younger brothers. She has been fascinated by animals, fairy tales and folklore since childhood, when she would visit her Irish Grandma and was told to ""watch out for the fairies!"" Her work is hand-drawn and coloured both digitally and by hand. Lauren enjoys adding little details to her illustrations appealing to children and adults alike. Lauren lives with her cat, Sushi, who keeps her company when drawing. show more"
9781409580454,About Susanna Davidson,Susanna writes fiction and non-fiction for Usborne. Her favourite things to write about are small monsters and talking animals. She used to live in London but now lives in a cottage on the edge of some woods. She is only sorry there are no bears or witches in them. show more
