ISBN13,Image,Name,Rating,Reviews,Format,Series,Language,Price,Description
9781405292382,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4052/9781405292382.jpg,Little Miss Trouble and the Mermaid,3.7,(121 ratings by Goodreads),Paperback,482836,English,₹899.84,"When Little Miss Trouble catches a mermaid with her fishing rod she finds herself at the beginning of a watery adventure that will teach her an important lesson. This colourful adventure, with a sparkly glittery cover, has been adapted to an upsized picture book format which will delight children of two years and upwards. The Mr Men and Little Miss Magic series takes kids on a series of sparkling adventures where they meet some extraordinary characters including a dragon, an ogre, a mermaid, a princess, a fairy, pirates and many others. show more"
9781786702654,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7867/9781786702654.jpg,Fairy,Not known,Not known,Hardback,-1,Not Known,₹520.02,Not available
9780857074416,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8570/9780857074416.jpg,Princess Evie's Ponies: Diamond the Magic Unicorn,3.83,(18 ratings by Goodreads),Paperback,428058,English,₹855.75,"Princess Evie is crazy about her ponies. But Princess Evie's ponies aren't like any other ponies - oh no! Her ponies are magic ponies and, whenever Princess Evie rides them, she is whisked away on a magical adventure in a faraway land . . . In this seventh book in the series, Princess Evie and Sparkles, the kitten, find themselves in a magical world of cloud sprites and unicorns! Evie is invited to take part in the Unicorn Games, will Diamond be good enough to win a prize? show more"
9780744588583,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7445/9780744588583.jpg,Dear Tooth Fairy,4.33,(97 ratings by Goodreads),Hardback,-1,Not Known,₹552.93,Holly's tooth is wobbly. It gets wobblier and wobblier and then falls out! But Holly's not sure she wants to give her pretty tooth up to the Fairy just yet - there are a few questions she wants to ask first! Open the little envelopes to discover the Tooth Fairy's replies and some special surprises. show more
9780141386645,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141386645.jpg,The Fairytale Hairdresser and the Princess and the Frog,4.14,(14 ratings by Goodreads),Paperback,522416,English,"₹1,025.36","Kittie Lacey is the best hairdresser in all of Fairyland. . . A brave, stylish heroine for whom no tangle is too troublesome and no frizz too fearsome! ________ It's Prince Freddie's coronation and Kittie is styling all her fairytale friends for an animal-themed parade to celebrate! But something's gone wrong. . . Prince Freddie is nowhere to be seen! Could his mysterious cousin be behind it? And who is this funny little frog in Kittie's salon? Together with her new friend Princess Lily, Kittie sets out to solve the mystery and bring order back to Fairyland. Have you read any more of Kittie's fairytale adventures? Fairytale Hairdresser and the Sugar Plum Fairy Fairytale Hairdresser and Father Christmas Fairytale Hairdresser and the Aladdin Fairytale Hairdresser and Snow White Fairytale Hairdresser and Cinderella show more"
9780552561860,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5525/9780552561860.jpg,The Fairytale Hairdresser and Rapunzel,4.29,(63 ratings by Goodreads),Paperback,522416,English,"₹1,006.48","Meet Kittie, the BEST hairdresser in all of fairyland! Join Kittie Lacey, as she helps play cupid (and hairdresser) to Rapunzel! But, with an evil Witch to watch out for, Kittie has to use ALL of her skills to save the day! A fabulously fun story full of favourite fairytale characters, starring the best hairdresser in all the land, Kittie Lacey! Discover Kittie's other adventures: Fairytale Hairdresser and the Sugar Plum Fairy Fairytale Hairdresser and Father Christmas Fairytale Hairdresser and Aladdin Fairytale Hairdresser and Cinderella show more"
9780552575195,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5525/9780552575195.jpg,The Fairytale Hairdresser and Aladdin,3.77,(22 ratings by Goodreads),Paperback,522416,English,"₹1,006.48","Meet Kittie, the BEST hairdresser in all of fairyland Kittie Lacey is off on a very overdue holiday on Aladdin's Magic Carpet Tours. But it's not long before Kittie needs to come to the rescue! When she finds herself tangled up in a world of flying carpets and mysterious jewels, Kittie needs to put all her skills to the test to rescue Aladdin, free the genie and save the day. Will she manage it? Have you read all of Kittie's fairytale adventures? Fairytale Hairdresser and the Sugar Plum Fairy Fairytale Hairdresser and Father Christmas Fairytale Hairdresser and Snow White Fairytale Hairdresser and Cinderella show more"
9781409580454,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4095/9781409580454.jpg,Cinderella,3.99,(89 ratings by Goodreads),Paperback,14386,English,₹755.94,"A beautifully illustrated picture book that brings new life to the classic tale. Meet Cinderella, a young girl with a wicked stepmother, two cruel stepsisters, and a magical fairy godmother who is set to make her dreams come true... The simple text and vibrant illustrations will appeal to very young children at story time and to older children just beginning to read alone. show more"
9781785573996,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7855/9781785573996.jpg,Crazy Maisy,Not known,Not known,Paperback,462905,English,"₹4,157.81",Not available
9781447240204,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4472/9781447240204.jpg,Princess Mirror-Belle and the Dragon Pox,3.71,(125 ratings by Goodreads),Paperback,580490,English,₹947.14,"Imagine Ellen's surprise when Princess Mirror-Belle climbs out of the bathroom mirror! She comes from a world where bubble fish swim in the bath, elves sleep in slippers, and brave knights fight fire-breathing dragons. And while Ellen has chicken pox, Mirror-Belle has dragon pox -- but she knows just the cure. The bath is soon overflowing with bubbles and goo . . . but will it get rid of their spots? Based on the original Princess Mirror-Belle story for older readers, Princess Mirror-Belle and the Dragon Pox is the seventh glittery adventure from Julia Donaldson and Lydia Monks, the award-winning creators of What the Ladybird Heard and The Singing Mermaid. Praise for The Singing Mermaid: '[A] tip-top adventurous ballad which will hold its readers captive.' - Guardian '[...] a delightful rhyming adventure.' - Daily Mail show more"
9781447210856,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4472/9781447210856.jpg,The Singing Mermaid,4.14,(655 ratings by Goodreads),Paperback,-1,English,₹947.14,"The singing mermaid is tempted away from her home at Silversands to join the circus. The audiences love her but the poor mermaid, kept in a tank by the wicked circus owner Sam Sly, soon longs to return to the freedom of the sea. Will she ever escape? With glitter throughout, The Singing Mermaid is a beautiful, lyrical picture book from Julia Donaldson and Lydia Monks, the creators of the bestselling What the Ladybird Heard. show more"
9780340997130,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3409/9780340997130.jpg,Felicity Wishes: When The Magic Began,3,(8 ratings by Goodreads),Hardback,1150638,English,₹680.89,"Fairy Godmother has invited Felicity Wishes and her friends to take part in a test to see if they're ready to start at The School of Nine Wishes. For most fairies it's a magical time, but Felicity soon realises that her dream of becoming a fully-fledged fairy may not come true as her tests go from bad to worse... This is the untold story of how Felicity got her place at the School of Nine Wishes. show more"
9781848798823,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8487/9781848798823.jpg,Camilla the Cupcake Fairy,3.85,(206 ratings by Goodreads),Paperback,756869,English,"₹1,033.57",Not Available show more
9781785984310,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7859/9781785984310.jpg,Susie the Sapphie Fairy,5,(1 rating by Goodreads),Paperback,-1,English,"₹1,164.72","Introducing Susie the Sapphire Fairy, the next fabulous story in the Sparkle Town Fairies series. Meet Susie, head of the Sparkle Town Unicorn School and the Sapphire Aerogymnastic Group. When Fairy Land s Glitter Games come to Sparkle Town, Susie wants to win at all costs even if it means not listening to her friends! When tempers clash, can the fairies work together to win or will it all fall apart Beautiful illustrations and funny, rhyming text makes this story a delight to read with one child or with a group. show more"
9781780653297,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7806/9781780653297.jpg,Daisy the Doughnut Fairy,3.4,(5 ratings by Goodreads),Paperback,756869,English,"₹1,033.57",Not Available show more
9781780656199,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7806/9781780656199.jpg,Lola the Lollipop Fairy,3.97,(145 ratings by Goodreads),Paperback,756869,English,"₹1,033.57",Not Available show more
