For ages,No of pages,Language,Dimensions,Publisher,Publication date,ISBN10,ISBN13,Bestsellers rank,Publication City/Country,Edition Statement,Edition,Imprint,Illustrations note
Not known,32 pages,English,229 x 249 x 3mm | 157g,Egmont UK Ltd,28 Jun 2018,1405292385,9781405292382,"2,112,412","London, United Kingdom",Not known,Not available,Egmont Books Ltd,COLOUR ILLUSTRATIONS
Not known,24 pages,Not known,231 x 231 x 17mm | 415g,Bonnier Books Ltd,01 Oct 2016,1786702657,9781786702654,Not available,"Sywell, United Kingdom",Not known,Not available,Igloo Books Ltd,cased cover
0-5,32 pages,English,240 x 240 x 3mm | 175g,Simon & Schuster Ltd,27 Sep 2012,0857074415,9780857074416,"71,174","London, United Kingdom",UK ed.,Not available,Simon & Schuster Childrens Books,Full colour
0-5,32 pages,Not known,Not known,Walker Books Ltd,01 Nov 2003,0744588588,9780744588583,Not available,"London, United Kingdom",Not known,Not available,Not available,full-colour illustrations
Not known,32 pages,English,290 x 240 x 3mm | 232g,Penguin Random House Children's UK,14 Jun 2018,0141386649,9780141386645,"105,142","London, United Kingdom",Not known,Not available,Puffin,Not available
0-5,32 pages,English,240 x 289 x 4mm | 218g,Penguin Random House Children's UK,01 Oct 2014,055256186X,9780552561860,"57,713","London, United Kingdom",Not known,Not available,Picture Corgi,chiefly col. Illustrations
0-5,32 pages,English,291 x 240 x 4mm | 218g,Penguin Random House Children's UK,09 Mar 2017,0552575194,9780552575195,"69,029","London, United Kingdom",Not known,Not available,Picture Corgi,Not available
0-5,24 pages,English,250 x 251 x 3mm | 150g,Usborne Publishing Ltd,13 Jun 2014,Not known,9781409580454,"425,092","London, United Kingdom",Not known,Not available,Not available,Full colour throughout
0-5,24 pages,English,250 x 250 x 3mm | 161g,Bonnier Books Ltd,01 Nov 2015,1785573993,9781785573996,Not available,"Sywell, United Kingdom",Not known,Not available,Igloo Books Ltd,cover
0-5,32 pages,English,250 x 250 x 5mm | 247g,Pan Macmillan,20 Mar 2015,1447240200,9781447240204,"41,757","London, United Kingdom",Illustrated edition,Illustrated,Macmillan Children's Books,w. numerous col. ill.
0-5,32 pages,English,251 x 251 x 5mm | 250g,Pan Macmillan,28 Mar 2013,1447210859,9781447210856,"2,247","London, United Kingdom",Illustrated edition,Illustrated,Macmillan Children's Books,chiefly col. Illustrations
Not known,32 pages,English,256 x 258 x 12mm | 522g,Hachette Children's Group,06 Aug 2009,0340997133,9780340997130,"733,190","London, United Kingdom",Not known,Not available,Hodder Children's Books,four-colour
Not known,32 pages,English,261 x 264 x 4mm | 220g,Make Believe Ideas,01 Mar 2013,1848798822,9781848798823,"127,572","Berhamsted, United Kingdom",Not known,Not available,Not available,illustrations
0-5,32 pages,English,260 x 265 x 5mm | 218g,Make Believe Ideas,01 Aug 2016,1785984314,9781785984310,"758,905","Herts, United Kingdom",Not known,Not available,Not available,Not available
0-5,32 pages,English,258 x 264 x 5mm | 220g,Make Believe Ideas,01 Jan 2013,1780653298,9781780653297,"313,250","Berhamsted, United Kingdom",Not known,Not available,Not available,chiefly Illustrations; chiefly Illustrations
0-5,32 pages,English,258 x 265 x 4mm | 220g,Make Believe Ideas,01 Jan 2013,178065619X,9781780656199,"308,710","Berhamsted, United Kingdom",Not known,Not available,Not available,chiefly Illustrations
Not known,32 pages,English,225 x 317 x 5mm | 222g,Hachette Children's Group,02 Oct 2008,1846162998,9781846162992,"14,791","London, United Kingdom",UK ed.,Not available,Orchard Books,Full colour
3-5,32 pages,English,256 x 203 x 5mm | 91g,Simon Spotlight,28 Jul 2015,148143585X,9781481435857,"389,375",Not known,Not known,Not available,Not available,"Illustrations, unspecified"
0-5,32 pages,English,216 x 270 x 4mm | 184g,Egmont UK Ltd,01 May 2008,140521788X,9781405217880,"88,085","London, United Kingdom",New edition,New edition,Egmont Books Ltd,colour illustrations
Not known,32 pages,Not known,"1 x 1 x 1mm | 1,000g",Egmont UK Ltd,29 Sep 2017,0603574246,9780603574245,Not available,"London, United Kingdom",Not known,Not available,Dean & Son,Not available
Not known,32 pages,Not known,"1 x 1 x 1mm | 1,000g",Egmont UK Ltd,17 Aug 2015,0603571913,9780603571916,Not available,"London, United Kingdom",Not known,Not available,Dean & Son,Not available
Not known,32 pages,English,250 x 230 x 4mm | 154g,Egmont UK Ltd,10 Mar 2018,Not known,9781405288828,"312,915","London, United Kingdom",Not known,Not available,Egmont Books Ltd,w. num. col. ills.
Not known,32 pages,Not known,219 x 245 x 8mm | 314g,Penguin Random House Children's UK,07 Sep 2006,0141382414,9780141382418,"1,611,517",United Kingdom,Not known,Not available,Puffin,Not available
0-5,32 pages,English,274 x 245 x 4mm | 175g,Bloomsbury Publishing PLC,25 May 2010,0747541930,9780747541936,"31,501","London, United Kingdom",Not known,Not available,Not available,colour and b&w illustrations
12-17,32 pages,Not known,203 x 250mm | 164g,Egmont UK Ltd,14 Nov 1994,0749717785,9780749717780,Not available,"London, United Kingdom",Not known,Not available,Mammoth,colour illustrations
0-5,32 pages,English,251 x 281 x 7mm | 221g,Scholastic,09 Jun 2015,1407115596,9781407115597,551,"London, United Kingdom",Not known,Not available,Alison Green Books,chiefly col. Illustrations
0-5,24 pages,English,250 x 250 x 4mm | 160g,Usborne Publishing Ltd,01 Oct 2011,Not known,9781409536963,"493,846","London, United Kingdom",Not known,Not available,Not available,Not available
Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not available,Not known,Not known,Not available,Not available,Not available
0-5,32 pages,Not known,250 x 270 x 4mm | 206g,Walker Books Ltd,03 Apr 2006,0744598613,9780744598612,"768,663","London, United Kingdom",New ed.,Not available,Not available,colour illustrations
0-5,32 pages,English,258 x 288 x 11mm | 530g,SCHOLASTIC,06 Sep 2010,1407115561,9781407115566,"4,919","London, United Kingdom",Trade Paperback,Not available,Alison Green Books,w. numerous col. ills.
0-5,32 pages,English,255 x 289 x 12mm | 560g,Scholastic,01 Sep 2011,Not known,9781407124377,"4,497","London, United Kingdom",Not known,Not available,Alison Green Books,chiefly col. Illustrations
6-8,32 pages,English,227 x 250 x 6.35mm | 372g,SPCK Publishing,01 Sep 2001,074594504X,9780745945040,Not available,United Kingdom,American ed,Not available,Lion Children's Books,illustrations
0-5,32 pages,English,215 x 260 x 4mm | 179g,Penguin Random House Children's UK,02 Oct 2015,Not known,9780241255162,"16,514","London, United Kingdom",ed,Not available,Ladybird,w. numerous col. ill.
Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not available,Not known,Not known,Not available,Not available,Not available
0-5,32 pages,English,260 x 265 x 7mm | 274g,Fourth Wall Publishing,29 Aug 2016,1910851205,9781910851203,"47,508","Neston, United Kingdom",Not known,Not available,Not available,Colour
0-5,32 pages,English,259 x 265 x 2mm | 220g,HarperCollins Publishers,26 Jan 2021,0007119712,9780007119714,"83,416","London, United Kingdom",UK ed.,New edition,HarperCollins Children's Books,illustrations
0-5,32 pages,English,259 x 265 x 2mm | 216g,HarperCollins Publishers,27 Mar 2012,0007236336,9780007236336,"8,438","London, United Kingdom",Rev. ed.,Not available,HarperCollins,32 colour illustrations
6-12,32 pages,English,181 x 251 x 2mm | 154g,Penguin Random House Children's UK,16 Jun 2011,0141501766,9780141501765,"19,303",United Kingdom,Not known,Not available,Puffin,colour throughout
0-5,32 pages,Not known,216 x 261mm,Penguin Books Ltd,03 Sep 2012,0723269831,9780723269830,Not available,"London, United Kingdom",Not known,Not available,Frederick Warne Publishers Ltd,Not available
2+,32 pages,English,209 x 269 x 5mm | 180g,Scholastic,06 Sep 2010,Not known,9781407109275,852,"London, United Kingdom",Not known,Not available,Alison Green Books,chiefly col. Illustrations
0-5,32 pages,English,217 x 270 x 4mm | 156g,Pan Macmillan,01 Jul 2000,0333710932,9780333710937,176,"London, United Kingdom",Reprints,Illustrated,Macmillan Children's Books,colour illustrations
Not known,Not known,Not known,7 x 215 x 269mm | 150g,Not known,01 Jan 1900,Not known,9780330532495,Not available,Not known,Not known,Not available,Not available,Not available
0-5,32 pages,English,220 x 280 x 2mm | 200g,HarperCollins Publishers,20 Sep 2016,0007347057,9780007347056,"70,735","London, United Kingdom",50th anniversary edition,Special edition,HARPERCOLLINS,chiefly col. Illustrations
0-5,32 pages,English,220 x 280 x 3mm | 180g,HarperCollins Publishers,06 Jun 2005,0007171285,9780007171286,"72,917","London, United Kingdom",New edition,New edition,HarperCollins,Col.ill.
0-5,32 pages,English,220 x 280 x 2mm | 190g,HarperCollins Publishers,18 Jun 2015,0007586779,9780007586776,"70,517","London, United Kingdom",UK ed.,Not available,HarperCollins,Not available
0-5,32 pages,English,226 x 277 x 15mm | 354g,Pan Macmillan,02 Sep 2005,Not known,9781405034692,"90,052","London, United Kingdom",Illustrated edition,Illustrated,MACMILLAN CHILDREN'S BOOKS,32 colour illustrations
Not known,Not known,Not known,Not known,PAN MACMILLAN CHILDRENS,01 Oct 2011,Not known,9781447202745,Not available,Not known,Not known,Not available,Not available,Not available
0-5,32 pages,English,258 x 266 x 4mm | 220g,Hachette Children's Group,04 Sep 2012,1444902636,9781444902631,"33,563","London, United Kingdom",Not known,Not available,Hodder Children's Books,Full Colour
Not known,32 pages,Not known,260 x 280 x 10mm | 508g,Little Tiger Press Group,04 Sep 2006,1845063791,9781845063795,"2,088,487","London, United Kingdom",Not known,Not available,Little Tiger Press,full colour illustrations
0-5,32 pages,English,237 x 300 x 3mm | 230g,Bloomsbury Publishing PLC,06 Aug 2001,0747550786,9780747550785,"1,941,169","London, United Kingdom",New edition,New edition,Not available,Not available
0-5,32 pages,English,216 x 238 x 3mm | 138g,Penguin Random House Children's UK,16 Jun 2011,Not known,9780141333748,"48,136","London, United Kingdom",Not known,Not available,Puffin,chiefly col. Illustrations
0-5,32 pages,English,216 x 241 x 12mm | 374g,Bloomsbury Publishing PLC,14 Feb 2013,Not known,9781408828007,"51,898","London, United Kingdom",Not known,Not available,Bloomsbury Childrens Books,chiefly col. Illustrations
Not known,32 pages,English,250 x 250 x 11mm | 397g,Hachette Children's Group,02 Jul 2019,1444937324,9781444937329,"29,509","London, United Kingdom",Not known,Not available,Hodder Children's Books,full colour throughout
Not known,32 pages,Not known,212 x 264 x 9mm | 300g,Pan MacMillan,22 Sep 1995,0333493591,9780333493595,Not available,"London, United Kingdom",New edition,New edition,MACMILLAN CHILDREN'S BOOKS,colour illustrations
Not known,32 pages,English,260 x 265 x 4mm | 204g,Make Believe Ideas,01 Jan 2019,1788436032,9781788436038,"680,955","Herts, United Kingdom",Not known,Not available,Not available,Not available
0-5,40 pages,English,245 x 270 x 10mm | 253g,Walker Books Ltd,01 Jan 2007,Not known,9781406304589,"62,431","London, United Kingdom",New ed,Not available,Not available,colour illustrations
0-5,32 pages,English,245 x 274 x 7mm | 190g,Bloomsbury Publishing PLC,09 Apr 2015,1408849828,9781408849828,"47,943","London, United Kingdom",Not known,Not available,Bloomsbury Childrens Books,Not available
0-5,32 pages,English,210 x 270 x 10mm | 273g,Pan MacMillan,03 Nov 2006,0333633393,9780333633397,"208,218","London, United Kingdom",Illustrated edition,Illustrated,MACMILLAN CHILDREN'S BOOKS,Not available
Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not known,Not available,Not known,Not known,Not available,Not available,Not available
0-5,24 pages,English,216 x 270 x 5mm | 288g,Egmont UK Ltd,01 Nov 2008,1405225505,9781405225502,"297,754","London, United Kingdom",Not known,Not available,Egmont Books Ltd,"colour illustrations, full colour illustrations"
0-5,32 pages,English,249 x 272 x 3mm | 179g,Hachette Children's Group,06 Sep 2012,1408312514,9781408312513,"21,663","London, United Kingdom",UK ed.,Not available,ORCHARD BOOKS,chiefly colour illustrations
0-5,32 pages,English,251 x 274 x 6mm | 242g,Hachette Children's Group,03 Sep 2015,1846168848,9781846168840,"29,223","London, United Kingdom",UK ed.,Not available,ORCHARD BOOKS,colour illustrations
Not known,32 pages,English,252 x 278 x 10mm | 464g,Walker Books Ltd,05 Nov 2007,140630039X,9781406300390,"215,422","London, United Kingdom",Not known,Not available,Not available,Not available
0-5,40 pages,English,208 x 278 x 6mm | 213g,Hachette Children's Group,17 Apr 2014,Not known,9781408330036,"47,543","London, United Kingdom",Not known,Not available,Orchard Books,w. col. ill.
0-5,32 pages,English,248 x 225 x 5mm | 200g,Walker Books Ltd,01 Mar 2011,1406329983,9781406329988,"484,219","London, United Kingdom",Not known,Not available,Not available,chiefly col. Illustrations
0-5,32 pages,English,242 x 292 x 9mm | 520g,Penguin Random House Children's UK,29 Aug 2013,Not known,9780141332888,"97,192","London, United Kingdom",Not known,Not available,Puffin,w. numerous col. ills.
0-5,32 pages,English,243 x 308 x 10mm | 501g,Pan Macmillan,23 Sep 2010,Not known,9780230743083,"35,217","London, United Kingdom",Illustrated edition,Illustrated,Macmillan Children's Books,32 colour illustrations
0-5,32 pages,English,226 x 312 x 4mm | 213g,HarperCollins Publishers,15 Oct 2005,0007140096,9780007140091,Not available,"London, United Kingdom",Not known,Not available,HarperCollins,With numerous col. ill.
3-5,32 pages,English,243 x 313 x 9mm | 505g,Random House USA Inc,19 Nov 2013,0399165339,9780399165337,"62,985","New York, United States",Not known,Not available,Not available,FULL-COLOR ILLUSTRATIONS
