isbn,name_y,review_count,Most Popular Series,Best Seller Series,Most Searched Tags,name_x,min_age,max_age,rating
B078WNSB8V,A Hello!Lucky Book,"5,065",,,Family Time,"My Dad Is Amazing (A Hello!Lucky Book) (April 3, 2018)",0,1,4.9
B078WR254G,A Hello!Lucky Book,"2,482",,,Family Time,"My Mom Is Magical (A Hello!Lucky Book) (March 6, 2018)",0,1,4.8
B07BFX264F,A Hello!Lucky Book,830,,,,"Super Pooper and Whizz Kid (A Hello!Lucky Book): Potty Power! (August 14, 2018)",0,1,4.8
B07H2GH5JR,A Hello!Lucky Book,550,,,Good Habits,"Kindness Rules! (A Hello!Lucky Book) (April 9, 2019)",0,1,4.9
B08K42V6DS,A Hello!Lucky Book,528,,,,"You Are Fantastic! (A Hello!Lucky Book) (April 27, 2021)",0,1,4.8
9781419751103,A Hello!Lucky Book,318,,,,"School Is Cool! (A Hello!Lucky Book) (July 13, 2021)",0,1,4.7
B08WJVC4X1,A Hello!Lucky Book,291,,,,"Bananas for You! (A Hello!Lucky Book) (December 28, 2021)",0,1,4.9
B08526LVC8,A Hello!Lucky Book,281,,,,"Sloth and Smell the Roses (A Hello!Lucky Book) (January 12, 2021)",0,1,4.8
B07P124SH8,A Hello!Lucky Book,180,,,,"Christmas Is Awesome! (A Hello!Lucky Book) (October 15, 2019)",0,1,4.8
9781419739644,A Hello!Lucky Book,147,,,,"Go Get 'Em, Tiger! (A Hello!Lucky Book) (March 10, 2020)",0,1,4.9
B09C1891ZD,A Hello!Lucky Book,54,,,Family Time,"My Grandpa Is Grand! (A Hello!Lucky Book) (March 8, 2022)",0,1,5
B09C18QGSS,A Hello!Lucky Book,54,,,Family Time,"My Grandma Is Great! (A Hello!Lucky Book) (March 8, 2022)",0,1,5
9781419743344,A Hello!Lucky Book,24,,,,"Thanks a Ton! (A Hello!Lucky Book) (September 1, 2020)",0,1,4.8
B09C18MNRL,A Hello!Lucky Book,19,,,,"Halloween Is a Treat! (A Hello!Lucky Book) (July 12, 2022)",0,1,4.9
9781419755569,A Hello!Lucky Book,2,,,,"Hang in There! (A Hello!Lucky Book) (May 3, 2022)",0,1,2.7
9780374355494,A Pout-Pout Fish Adventure,"2,330",,Editor Pick,,"The Not Very Merry Pout-Pout Fish (A Pout-Pout Fish Adventure) (September 8, 2015)",0,1,4.7
