isbn,name_y,max_age,min_age,name_x,rating,review_count,main_image,Special Category,category_1,category_2,category_n
000B078WNSB8V,A Hello!Lucky Book,1,0,"My Dad Is Amazing (A Hello!Lucky Book) (April 3, 2018)",4.9,"5,065",https://m.media-amazon.com/images/I/613Fd9pzEXL._US218_.jpg,Best Seller - Most Popular,,,
000B005I76XNS,Karen Katz Lift-the-Flap Books,1,0,"(Where Is Baby's Belly Button?) By Katz, Karen (Author) Hardcover on 01-Sep-2000",4.8,"13,404",https://m.media-amazon.com/images/I/51ygcqn+uWL._US218_.jpg,Best Seller - Most Popular,,,
000B007HOOAH6,Leslie Patricelli Board,1,0,"Potty (Leslie Patricelli Board Books) (November 15, 2011)",4.7,"13,620",https://m.media-amazon.com/images/I/51ASW2M8ZXL._US218_.jpg,Best Seller - Most Popular,,,
000B0197P9TAK,Little Pookie,1,0,"By Sandra Boynton - Spooky Pookie (Brdbk) (2015-07-22) [Board book] (July 22, 2015)",4.9,"8,362",https://m.media-amazon.com/images/I/41F-EG46wVL._US218_.jpg,Best Seller - Most Popular,,,
000B00NHXDDJW,Little Blue Truck,2,0,"Little Blue Truck's Christmas (September 23, 2014)",4.8,"16,396",https://m.media-amazon.com/images/I/619w6zrGM+L._US218_.jpg,Best Seller - Most Popular,,,
000B0789BMG5R,Little Blue Truck,2,0,"Little Blue Truck's Springtime: An Easter And Springtime Book For Kids (January 2, 2018)",4.8,"15,027",https://m.media-amazon.com/images/I/61aJJG9EPeL._US218_.jpg,Best Seller - Most Popular,,,
000B01M0JHBEG,Little Blue Truck,2,0,"By Alice Schertle, Jill McElmurry Little Blue Truck's Halloween [(board book)] Little Blue Truck's Halloween [board book 2016 ] [1783]",4.9,"13,615",https://m.media-amazon.com/images/I/61+VWLCSkGL._US218_.jpg,Best Seller - Most Popular,,,
000B00O33P04G,Hello Genius,2,1,"Little Monkey Calms Down (Hello Genius) (November 1, 2014)",4.8,"4,335",https://m.media-amazon.com/images/I/51Qzmyx7MkL._US218_.jpg,Best Seller - Most Popular,,,
000B0C3CNC5PN,"Hello, World!",2,1,HELLO WORLD! SOLAR SYSTEM,4.8,"9,368",https://m.media-amazon.com/images/I/61dKlW-weHL._US218_.jpg,Best Seller - Most Popular,,,
000B07DSZWR1Q,"Hello, World!",2,1,"Hello, World! Ocean Life (February 5, 2019)",4.9,"4,472",https://m.media-amazon.com/images/I/615QEi1qZzL._US218_.jpg,Best Seller - Most Popular,,,
000B00BR9XXIE,Best Behavior,3,2,"Teeth Are Not for Biting (Board Book) (Best Behavior Series) by Verdick, Elizabeth (BRDBK Edition) [Boardbook(2003)]",4.8,"5,464",https://m.media-amazon.com/images/I/61dVuJKWxKL._US218_.jpg,Best Seller - Most Popular,,,
000B01071BYXI,Tales From Acorn Wood,3,2,"Hide-And-Seek Pig. Written by Julia Donaldson (Tales from Acorn Wood) by Donaldson, Julia (2011) Hardcover",4.8,"3,601",https://m.media-amazon.com/images/I/51whdB5KZEL._US218_.jpg,Best Seller - Most Popular,,,
000B00ESF285S,Classic Seuss,6,5,"Oh, the Places You'll Go! (Classic Seuss) (September 24, 2013)",4.9,"46,138",https://m.media-amazon.com/images/I/51opHU0nG8L._US218_.jpg,Best Seller - Most Popular,,,
000B00ESF28UI,Classic Seuss,6,5,"How the Grinch Stole Christmas (Classic Seuss) (October 22, 2013)",4.9,"18,233",https://m.media-amazon.com/images/I/51Clfk8gXGL._US218_.jpg,Best Seller - Most Popular,,,
000B00ESF28OY,Classic Seuss,6,5,"Happy Birthday to You! (Classic Seuss) (October 22, 2013)",4.8,"14,895",https://m.media-amazon.com/images/I/51PjijNtZDL._US218_.jpg,Best Seller - Most Popular,,,
000B00ESF28K8,Classic Seuss,6,5,"The Lorax (Classic Seuss) (September 24, 2013)",4.9,"9,936",https://m.media-amazon.com/images/I/51cl8CESEvL._US218_.jpg,Best Seller - Most Popular,,,
000B00ESF27ZY,Classic Seuss,6,5,"Horton Hears a Who! (Classic Seuss) (September 24, 2013)",4.9,"6,272",https://m.media-amazon.com/images/I/51sOGO+lldL._US218_.jpg,Best Seller - Most Popular,,,
000B00ESF28YY,Classic Seuss,6,5,"The Sneetches and Other Stories (Classic Seuss) (October 22, 2013)",4.9,"6,062",https://m.media-amazon.com/images/I/51TByb25qbL._US218_.jpg,Best Seller - Most Popular,,,
000B00QO6P31K,Diary of a Wimpy Kid,8,7,Cabin Fever (Diary of a Wimpy Kid #6),4.7,"20,727",https://m.media-amazon.com/images/I/513pdNF+IHL._US218_.jpg,Best Seller - Most Popular,,,
000B002M3SOZG,Diary of a Wimpy Kid,8,7,Rodrick Rules (Diary of a Wimpy Kid #2),4.7,"20,042",https://m.media-amazon.com/images/I/51UuA+sIzGL._US218_.jpg,Best Seller - Most Popular,,,
9780374360962,A Pout-Pout Fish Adventure,1,0,"The Pout-Pout Fish (A Pout-Pout Fish Adventure, 1) (March 18, 2008)",4.8,"25,553",https://m.media-amazon.com/images/I/51QCFvcj9HL._US218_.jpg,Best Seller - Most Popular,,,
9780756634681,Baby Touch and Feel,1,0,"Baby Touch and Feel: Animals (January 21, 2008)",4.7,"11,149",https://m.media-amazon.com/images/I/5150IRrWffL._US218_.jpg,Best Seller - Most Popular,,,
9780805092448,Brown Bear and Friends,1,0,"Brown Bear, Brown Bear, What Do You See? My First Reader (July 20, 2010)",4.9,"51,488",https://m.media-amazon.com/images/I/51vHqhsoq2L._US218_.jpg,Best Seller - Most Popular,,,
9780805092455,Brown Bear and Friends,1,0,"Polar Bear, Polar Bear, What Do You Hear? My First Reader (July 20, 2010)",4.8,"9,313",https://m.media-amazon.com/images/I/41iyo4M88jL._US218_.jpg,Best Seller - Most Popular,,,
9780671679491,"Chicka Chicka Book, A",1,0,"Chicka Chicka Boom Boom (Chicka Chicka Book, A) (October 1, 1989)",4.9,"36,497",https://m.media-amazon.com/images/I/41whawB0apL._US218_.jpg,Best Seller - Most Popular,,,
9780811877824,"Goodnight, Goodnight, Construction Site (Picture Books)",2,0,"Goodnight, Goodnight, Construction Site (April 20, 2011)",4.9,"22,421",https://m.media-amazon.com/images/I/61ZUsg-damL._US218_.jpg,Best Seller - Most Popular,,,
9781452139111,"Goodnight, Goodnight, Construction Site (Picture Books)",2,0,"Construction Site on Christmas Night: (Christmas Book for Kids, Children's Book, Holiday Picture Book) (Goodnight, Goodnight Construction Site) (October 16, 2018)",4.9,"7,099",https://m.media-amazon.com/images/I/61w8NMMzblL._US218_.jpg,Best Seller - Most Popular,,,
9780451469908,Llama Llama (Picture Books),1,0,"Llama Llama Red Pajama: Gift Edition (October 21, 2014)",4.8,"11,731",https://m.media-amazon.com/images/I/61ukfQqta2L._US218_.jpg,Best Seller - Most Popular,,,
9781789478877,Never Touch a,1,0,"Never Touch a Porcupine! (September 1, 2020)",4.9,"5,296",https://m.media-amazon.com/images/I/51XHsKwSpML._US218_.jpg,Best Seller - Most Popular,,,
9781492632641,Welcome Little One Baby Gift Collection,1,0,"Welcome Little One: Shower Your Newborn or Baby in Love with this Sweet Board Book, Perfect for New Parents (Welcome Little One Baby Gift Collection) (December 26, 2015)",4.8,"5,075",https://m.media-amazon.com/images/I/41XWm6O4-bL._US218_.jpg,Best Seller - Most Popular,,,
9780375868481,Where Do.,1,0,Where Do Diggers Sleep at Night?,4.8,"14,486",https://m.media-amazon.com/images/I/61Cz2g-elaL._US218_.jpg,Best Seller - Most Popular,,,
9780374390198,If Animals Kissed Good Night,2,0,"If Animals Kissed Good Night (September 13, 2022)",4.8,"72,545",https://m.media-amazon.com/images/I/51mg+IgMraL._US218_.jpg,Best Seller - Most Popular,,,
9781328852137,Little Blue Truck,2,0,"Good Night, Little Blue Truck (October 15, 2019)",4.9,"15,308",https://m.media-amazon.com/images/I/510fMN61-ZL._US218_.jpg,Best Seller - Most Popular,,,
9780152063894,Little Blue Truck,2,0,"Little Blue Truck Leads the Way (October 19, 2009)",4.8,"12,772",https://m.media-amazon.com/images/I/51c3kEDnQFL._US218_.jpg,Best Seller - Most Popular,,,
9780358272441,Little Blue Truck,2,0,"Little Blue Truck's Valentine (December 8, 2020)",4.9,"10,172",https://m.media-amazon.com/images/I/51l34Xy8mwL._US218_.jpg,Best Seller - Most Popular,,,
9780358412243,Little Blue Truck,2,0,"Time for School, Little Blue Truck: A Back to School Book for Kids (June 22, 2021)",4.9,"5,875",https://m.media-amazon.com/images/I/516EqYEy+QL._US218_.jpg,Best Seller - Most Popular,,,
9780241484692,Ten Minutes to Bed,2,0,"Little Dinosaur (Ten Minutes to Bed) (October 20, 2020)",4.9,"5,091",https://m.media-amazon.com/images/I/51+gzHInRGL._US218_.jpg,Best Seller - Most Popular,,,
9780670654000,Picture Puffin Books,2,1,The Snowy Day,4.9,"9,781",https://m.media-amazon.com/images/I/51JkFy3cmkL._US218_.jpg,Best Seller - Most Popular,,,
9781509866946,Campbell Axel Scheffler,3,2,"Axel Scheffler On the Farm (March 1, 2020)",4.7,"3,416",https://m.media-amazon.com/images/I/61grs5DpLlL._US218_.jpg,Best Seller - Most Popular,,,
9780230753099,Tales From Acorn Wood,3,2,"Fox's Socks. Written by Julia Donaldson (Tales from Acorn Wood) (January 1, 2011)",4.8,"6,190",https://m.media-amazon.com/images/I/51QHXRVQwzL._US218_.jpg,Best Seller - Most Popular,,,
9781447273417,Tales From Acorn Wood,3,2,Rabbit's Nap (Tales From Acorn Wood),4.8,"6,143",https://m.media-amazon.com/images/I/51uxO1hN22L._US218_.jpg,Best Seller - Most Popular,,,
9781524764562,Who's In Your Book?,3,2,"There's a Monster in Your Book (Who's In Your Book?) (September 5, 2017)",4.9,"7,645",https://m.media-amazon.com/images/I/51R5FxjZCwL._US218_.jpg,Best Seller - Most Popular,,,
9781524766382,Who's In Your Book?,3,2,"There's a Dragon in Your Book (Who's In Your Book?) (September 4, 2018)",4.9,"7,318",https://m.media-amazon.com/images/I/515aC0vnPEL._US218_.jpg,Best Seller - Most Popular,,,
9781984893444,Who's In Your Book?,3,2,"There's an Elf in Your Book (Who's In Your Book?) (October 1, 2019)",4.7,"3,752",https://m.media-amazon.com/images/I/615AejVN41L._US218_.jpg,Best Seller - Most Popular,,,
9780593125120,Who's In Your Book?,3,2,"There's an Alien in Your Book (Who's In Your Book?) (June 30, 2020)",4.8,"2,960",https://m.media-amazon.com/images/I/51PxgDHhj6L._US218_.jpg,Best Seller - Most Popular,,,
9781509836314,Big Steps,4,2,No More Nappies,4.7,"7,316",https://m.media-amazon.com/images/I/51qftyVciYL._US218_.jpg,Best Seller - Most Popular,,,
9781474917902,Very First Questions and Answers,4,2,What Is Poo,4.7,"1,769",https://m.media-amazon.com/images/I/512UCIFmftL._US218_.jpg,Best Seller - Most Popular,,,
9781484799673,An Elephant and Piggie Book,4,3,An Elephant & Piggie Biggie! (An Elephant and Piggie Book),4.9,"9,712",https://m.media-amazon.com/images/I/51onOo+w3zL._US218_.jpg,Best Seller - Most Popular,,,
9781368045704,An Elephant and Piggie Book,4,3,An Elephant & Piggie Biggie Volume 2! (An Elephant and Piggie Book),4.9,"8,279",https://m.media-amazon.com/images/I/51OhpgjdRZL._US218_.jpg,Best Seller - Most Popular,,,
9781368057158,An Elephant and Piggie Book,4,3,An Elephant & Piggie Biggie! Volume 3 (An Elephant and Piggie Book),4.9,"6,217",https://m.media-amazon.com/images/I/51P63f8lmqL._US218_.jpg,Best Seller - Most Popular,,,
9780803736801,Dragons Love Tacos,4,3,Dragons Love Tacos,4.8,"17,695",https://m.media-amazon.com/images/I/61NcGpkaWXL._US218_.jpg,Best Seller - Most Popular,,,
9781419713101,Growing Hearts,4,3,"In My Heart: A Book of Feelings (Growing Hearts) (October 14, 2014)",4.9,"8,256",https://m.media-amazon.com/images/I/417f6J75AKL._US218_.jpg,Best Seller - Most Popular,,,
9780553537864,Grumpy Monkey,4,3,Grumpy Monkey,4.8,"24,122",https://m.media-amazon.com/images/I/51KfSQWv8-L._US218_.jpg,Best Seller - Most Popular,,,
9781368046459,Pigeon,4,3,"The Pigeon HAS to Go to School! (July 2, 2019)",4.9,"11,261",https://m.media-amazon.com/images/I/41N5h-MVQDL._US218_.jpg,Best Seller - Most Popular,,,
9781423190875,Pigeon,4,3,"Pigeon Needs a Bath!, The-Pigeon series",4.9,"5,395",https://m.media-amazon.com/images/I/41v75rym74L._US218_.jpg,Best Seller - Most Popular,,,
9781492669739,How to Catch,5,4,"How to Catch a Unicorn (March 5, 2019)",4.8,"34,219",https://m.media-amazon.com/images/I/51Fi7Xu6ENL._US218_.jpg,Best Seller - Most Popular,,,
9781492662471,How to Catch,5,4,"How to Catch a Mermaid (July 17, 2018)",4.8,"32,235",https://m.media-amazon.com/images/I/51Fr0XHciHL._US218_.jpg,Best Seller - Most Popular,,,
9781492680529,How to Catch,5,4,"How to Catch a Dinosaur (September 3, 2019)",4.8,"13,378",https://m.media-amazon.com/images/I/51d03BD6hNL._US218_.jpg,Best Seller - Most Popular,,,
9781492632917,How to Catch,5,4,"How to Catch a Leprechaun (February 2, 2016)",4.8,"9,788",https://m.media-amazon.com/images/I/51XMQI66geL._US218_.jpg,Best Seller - Most Popular,,,
9781492638179,How to Catch,5,4,"How to Catch the Easter Bunny (February 1, 2017)",4.8,"8,327",https://m.media-amazon.com/images/I/51tBy6geZ0L._US218_.jpg,Best Seller - Most Popular,,,
