isbn,Series,Descrption
9781509862580,A Bear Family Book,"The moon and back before bath time? Whatever next! Join Baby Bear as he finds a rocket, makes friends with an owl and has a picnic on the moon. Celebrate thirty-five years of the bear family with this very special edition of the classic bedtime story, Whatever Next!, a beautiful story of innocence and imagination, full of the characteristic warmth and humour of Jill Murphy, author of The Worst Witch."
9781509862597,A Bear Family Book,"The hour was late and Mr Bear was tired. But he could not sleep - however he tried and wherever he tried. Snore, snore went Mrs Bear. Tick-tock, tick-tock went the clock. Would he never get to sleep? The familiar noises, repetition and beautiful illustrations make Jill Murphy's the delightful Peace at Last an all-time favourite bedtime story with children and adults everywhere. This is a beautiful refreshed edition of a much-loved picture book classic."
9781529021387,A Bear Family Book,"A wonderfully warm and relatable story from the brilliant Jill Murphy who has sold over 4 million books featuring the much-loved Bear Family and a charming third story to follow classic picture books Peace at Last and Whatever Next!Mr and Mrs Bear wake up late. It's raining outside, and Baby Bear is late for nursery. Then Mrs Bear sits on her glasses at work and Mr Bear spills his coffee! Oh dear - it seems this is just going to be one of those days! But the loveable Bear family muddle through cheerfully, and there's even a surprise for Baby Bear when Mr Bear gets home from work.With all the hallmarks of an instant firm favourite, Just One of Those Days is a big-hearted story about a family day, which parents and young children everywhere will relate to. Full of satisfying repetition and rhythm and delightful illustrations, Just One of Those Days is a must-have for all Jill Murphy fans, old and new.The paperback edition of the Top 10 Bestselling picture book.'Murphy's acute observation of family life continues to delight both children and adults.' - Guardian and Online'Full of gentle humour and astute observations of human behaviour.' - The Bookseller"
9781405286077,A Faraway Tree Adventure,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering."
9781444959550,A Faraway Tree Adventure,"When Joe, Beth, Frannie and Rick, and their friends Silky and Saucepan-man, are turned into toys, they're not sure how to get back to their normal state. Only one person can help them. The friends must get to very top of the Magic Faraway Tree and Santa Claus's castle as fast as they can!The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series:A Faraway Tree Adventure: The Land of BirthdaysA Faraway Tree Adventure: The Land of Magic MedicinesA Faraway Tree Adventure: The Land of Do-As-You-PleaseA Faraway Tree Adventure: The Land of GoodiesA Faraway Tree Adventure: In Santa Claus's CastleA Faraway Tree Adventure: The Land of ToysA Faraway Tree Adventure: The Land of DreamsA Faraway Tree Adventure: The Land of Silly SchoolA Faraway Tree Adventure: The Land of EnchantmentsA Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959833,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!It's Beth's birthday, so everyone is delighted when the Land of Birthdays arrives at the top of the Faraway Tree. It's time for the most magical party they've ever had!The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959840,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!The Land of Goodies has come to the top of the Faraway Tree, and it is the tastiest place that Joe, Beth, Frannie and Rick have ever been. There are ice-cream trees, lollipop bushes and fences made of marshmallow!The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959857,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!The Land of Magic Medicines has come to the top of the Faraway Tree, and it's full of curious bottles and sparkling potions. It's the perfect place to find something to make Mother feel better...The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959864,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!At the top of the Faraway Tree a new adventure awaits the children. What could be nicer than a visit to the Land of Do-As-You-Please? Frannie has always longed to ride an elephant and Joe wants to be a train-driver. Everyone's wishes can come true! The perfect format for new readers to enjoy the adventures of Moonface, Silky, Saucepan Man and friends.Also available in this short story series:A Faraway Tree Adventure: The Land of BirthdaysA Faraway Tree Adventure: The Land of Magic MedicinesA Faraway Tree Adventure: The Land of Do-As-You-PleaseA Faraway Tree Adventure: The Land of GoodiesA Faraway Tree Adventure: In Santa Claus's CastleA Faraway Tree Adventure: The Land of ToysA Faraway Tree Adventure: The Land of DreamsA Faraway Tree Adventure: The Land of Silly SchoolA Faraway Tree Adventure: The Land of EnchantmentsA Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959871,A Faraway Tree Adventure,"A full-colour short story from the enchanted world of the Faraway Tree in a perfect format for new readers. Discover the magic!The Land of Silly School is where Dame Snap teaches naughty elves, pixies and fairies. But Joe, Beth, Frannie, Connie soon discover that the lessons are very silly indeed! How will they escape strict Dame Snap?Also available in this short story series:A Faraway Tree Adventure: The Land of BirthdaysA Faraway Tree Adventure: The Land of Magic MedicinesA Faraway Tree Adventure: The Land of Do-As-You-PleaseA Faraway Tree Adventure: The Land of GoodiesA Faraway Tree Adventure: In Santa Claus's CastleA Faraway Tree Adventure: The Land of ToysA Faraway Tree Adventure: The Land of DreamsA Faraway Tree Adventure: The Land of Silly SchoolA Faraway Tree Adventure: The Land of EnchantmentsA Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959901,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!Joe, Beth, Frannie and cousin Rick go up the Faraway Tree for another fantastical adventure! This time, they reach the Land of Toys, where teddy bears, dolls and clockwork toys run around all day long. Poor Saucepan-Man gets thrown in prison by some toy soldiers and the children must rescue him before it's too late...The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959918,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!Beth, Joe, Frannie and Rick thought they had had quite enough of adventures, but soon go up the Faraway Tree again and find themselves in the Land of Dreams. The dastardly Sandman makes them fall asleep and Silky has to find a way to get them home in one piece! Along the way, they encounter muffins that turn into kittens, a bus that turns into a plane and a boat, and lots more...The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959925,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!In the Land of Enchantments, everything shines and shimmers and moves. But it's full of witches, enchanters and goblins, and some not very nice spells!The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959550,A Faraway Tree Adventure,"When Joe, Beth, Frannie and Rick, and their friends Silky and Saucepan-man, are turned into toys, they're not sure how to get back to their normal state. Only one person can help them. The friends must get to very top of the Magic Faraway Tree and Santa Claus's castle as fast as they can!The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series:A Faraway Tree Adventure: The Land of BirthdaysA Faraway Tree Adventure: The Land of Magic MedicinesA Faraway Tree Adventure: The Land of Do-As-You-PleaseA Faraway Tree Adventure: The Land of GoodiesA Faraway Tree Adventure: In Santa Claus's CastleA Faraway Tree Adventure: The Land of ToysA Faraway Tree Adventure: The Land of DreamsA Faraway Tree Adventure: The Land of Silly SchoolA Faraway Tree Adventure: The Land of EnchantmentsA Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959833,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!It's Beth's birthday, so everyone is delighted when the Land of Birthdays arrives at the top of the Faraway Tree. It's time for the most magical party they've ever had!The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
9781444959840,A Faraway Tree Adventure,"A full-colour short story taken from the world of the Magic Faraway Tree. Perfect for new readers. Discover the magic!The Land of Goodies has come to the top of the Faraway Tree, and it is the tastiest place that Joe, Beth, Frannie and Rick have ever been. There are ice-cream trees, lollipop bushes and fences made of marshmallow!The stories about the Magic Faraway Tree have been entertaining children for more than 80 years. Now these colour short stories offer a great way for young new readers to discover the adventures of Silky, Moon-Face, the Saucepan Man and all of their friends in the Enchanted Wood. Also available in this short story series: A Faraway Tree Adventure: The Land of Birthdays A Faraway Tree Adventure: The Land of Magic Medicines A Faraway Tree Adventure: The Land of Do-As-You-Please A Faraway Tree Adventure: The Land of Goodies A Faraway Tree Adventure: In Santa Claus's Castle A Faraway Tree Adventure: The Land of Toys A Faraway Tree Adventure: The Land of Dreams A Faraway Tree Adventure: The Land of Silly School A Faraway Tree Adventure: The Land of Enchantments A Faraway Tree Adventure: Joe and the Magic Snowman"
