Book Name,Rating,Customers_Rated,Price,Reading age,Grade level,Lexile measure,Print length,Language,Dimensions,Publisher,ISBN13,frontimg,subimage1,subimage2,subimage3
"Lion, the Witch and the Wardrobe",4.7,"13,315",,5 - 11 years,,,171,English,7.8 x 0.51 x 5.08 inches,HarperCollins Children's Books,9780007323128,"https://m.media-amazon.com/images/I/51QLjDXCe-L._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51QLjDXCe-L._AC_SX800.jpg,https://m.media-amazon.com/images/I/51Epur8sDsL._AC_SY800.jpg,https://m.media-amazon.com/images/I/51Fe1kHRGNL._AC_SY800.jpg
"The Giver - Essential Modern Classics [Paperback] [Jan 01, 2011] LOIS LOWRY",4.7,"27,741",,10+ years,,,,English,7.99 x 10 x 1.85 inches,Harpercollins Childrens,9780007341764,"https://m.media-amazon.com/images/I/41zOyRV-gyL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41zOyRV-gyL._AC_SX800.jpg,,
THE CAT IN THE HAT,4.9,"18,953",,2 - 6 years,,,64,English,7.99 x 0.24 x 10.98 inches,HARPER COLLINS,9780007348695,"https://m.media-amazon.com/images/I/51RwWYBoSgL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51RwWYBoSgL._AC_SX800.jpg,,
The Hobbit,4.8,"37,846",,,,,,English,5.08 x 0.94 x 7.2 inches,HarperCollins,9780007458424,"https://m.media-amazon.com/images/I/51N1VLZCuZL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51N1VLZCuZL._AC_SX800.jpg,,
DAY THE CRAYONS CAME HOME- PB+,4.9,"5,526",,3 - 7 years,,,,English,10 x 0.12 x 10 inches,HarperCollins Children’s Books,9780008124441,"https://m.media-amazon.com/images/I/51uj-dk62GL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51uj-dk62GL._AC_SX800.jpg,https://m.media-amazon.com/images/I/41tmhjdBg1L._AC_SY800.jpg,
PAX,4.7,"10,399",,8 - 11 years,,,,English,5.59 x 0.83 x 7.76 inches,HarperCollins Children Books,9780008158286,"https://m.media-amazon.com/images/I/51LPU-7wtbL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51LPU-7wtbL._AC_SX800.jpg,,
The Midnight Gang [Paperback],4.7,"8,999",,8 - 11 years,,,,English,5.08 x 1.5 x 7.8 inches,HARPER COLLINS,9780008164621,"https://m.media-amazon.com/images/I/51l8-xr5nHL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51l8-xr5nHL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51jtCURQ0YL._AC_SY800.jpg,https://m.media-amazon.com/images/I/41auiRyuJoL._AC_SY800.jpg
THE ICE MONSTER,4.8,"10,450",,7 - 12 years,,,496,English,5.08 x 1.46 x 7.8 inches,HARPER COLLINS,9780008164706,"https://m.media-amazon.com/images/I/517yXO6ipML._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/517yXO6ipML._AC_SX800.jpg,https://m.media-amazon.com/images/I/41NvKop-cfL._AC_SY800.jpg,https://m.media-amazon.com/images/I/41ukTq1qz1L._AC_SY800.jpg
Here We Are Notes For Living On Planet,4.8,"5,451",,1 - 5 years,,,,English,9.69 x 0.43 x 11.26 inches,HarperCollins Childrens Books,9780008266165,"https://m.media-amazon.com/images/I/41o6bQ1AXnL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41o6bQ1AXnL._AC_SX800.jpg,,
Animal Farm: The Internationally Best selling Classic from the Author of 1984 (Collins Classics),4.7,"42,401",,13+ years,,,,English,4.37 x 0.43 x 7.01 inches,William Collins,9780008322052,"https://m.media-amazon.com/images/I/31WugBbTqgL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/31WugBbTqgL._AC_SX800.jpg,,
