isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,,Image 3
9781509862580,A Bear Family Book,Whatever Next,4.8,"2,499",Paperback,2 - 6 years,Not known,Not known,Not known,English,11.02 x 0.2 x 8.82 inches,Macmillan Children's Books,Not known,1509862587,978-1509862580,Jill Murphy,,,https://m.media-amazon.com/images/I/51hCtMVhI6L._US218_.jpg,https://m.media-amazon.com/images/I/41RkcSptvUL._US218_.jpg,
9781509862597,A Bear Family Book,Peace At Last,4.8,"2,747",Paperback,2 - 6 years,Not known,Not known,Not known,English,11.02 x 0.16 x 8.82 inches,Macmillan Children's Books,"January 1, 2018",9781509862597,978-1509862597,Jill Murphy,,,https://m.media-amazon.com/images/I/51tEsoIgTGL._US218_.jpg,https://m.media-amazon.com/images/I/41RkcSptvUL._US218_.jpg,
9781529021387,A Bear Family Book,"Just One of Those Days (A Bear Family Book, 3",4.7,834,Paperback,3 - 6 years,Not known,Not known,Not known,English,8.82 x 0.12 x 10.91 inches,Macmillan Children's Books,"September 30, 2021",1529021383,978-1529021387,Jill Murphy,,,https://m.media-amazon.com/images/I/511qQqx6VNL._US218_.jpg,,
9781405280099,A Faraway Tree Adventure,A Faraway Tree Adventure: The Land of Do-As-You-Please: Colour Short Stories,4.7,61,Paperback,5 - 7 years,Not known,Not known,Not known,English,5.12 x 0.31 x 7.72 inches,Hodder Children's Books,"February 4, 2021",1405280093,9781405280099,Enid Blyton,,,https://m.media-amazon.com/images/I/51AVmq4-2HL._US218_.jpg,,
9781405286077,A Faraway Tree Adventure,Joe & The Magic Snowman,4.6,93,Paperback,Not known,Not known,Not known,Not known,English,7.8 x 0.31 x 5.12 inches,EGMONT,Not known,9781405286077,9781405286077,"Alex (Illustra Blyton, Enid & Paterson",,,https://m.media-amazon.com/images/I/51xjY33r+aL._US218_.jpg,,
9781444959550,A Faraway Tree Adventure,A Faraway Tree Adventure: In Santa Claus's Castle: Colour Short Stories,4.7,270,Paperback,5 - 8 years,Not known,Not known,Not known,English,5.04 x 0.39 x 7.72 inches,Hodder Children's Books,"November 12, 2020",1444959557,9781444959550,Enid Blyton,,,https://m.media-amazon.com/images/I/512p608wRRS._US218_.jpg,,
9781444959833,A Faraway Tree Adventure,A Faraway Tree Adventure: The Land of Birthdays: Colour Short Stories,4.7,147,Paperback,5 - 7 years,Not known,Not known,Not known,English,5.04 x 0.31 x 7.8 inches,Hodder Children's Books,"January 7, 2021",1444959832,9781444959833,Enid Blyton,,,https://m.media-amazon.com/images/I/51xRqUVZ-uL._US218_.jpg,,
9781444959840,A Faraway Tree Adventure,A Faraway Tree Adventure: The Land of Goodies: Colour Short Stories,4.5,60,Paperback,5 - 7 years,Not known,Not known,Not known,English,4.96 x 0.31 x 7.8 inches,Hodder Children's Books,"January 7, 2021",1444959840,9781444959840,Enid Blyton,,,https://m.media-amazon.com/images/I/51sO-bQilgL._US218_.jpg,,
9781444959857,A Faraway Tree Adventure,A Faraway Tree Adventure: The Land of Magic Medicines: Colour Short Stories,4.7,166,Paperback,5 - 7 years,Not known,Not known,Not known,English,4.96 x 0.31 x 7.8 inches,Hodder Children's Books,"January 7, 2021",1444959859,9781444959857,Enid Blyton,,,https://m.media-amazon.com/images/I/51BvbFCr0SL._US218_.jpg,,
9781444959864,A Faraway Tree Adventure,A Faraway Tree Adventure: The Land of Do-As-You-Please: Colour Short Stories,4.7,62,Paperback,5 - 7 years,Not known,Not known,Not known,English,5.12 x 0.31 x 7.72 inches,Hodder Children's Books,"February 4, 2021",1405280093,978-1405280099,Enid Blyton,,,https://m.media-amazon.com/images/I/51AVmq4-2HL._US218_.jpg,,
