isbn,name_y,name_x,min_age,max_age,review_count,rating,main_image
B078WNSB8V,A Hello!Lucky Book,"My Dad Is Amazing (A Hello!Lucky Book) (April 3, 2018)",0,1,"5,065",4.9,https://m.media-amazon.com/images/I/613Fd9pzEXL._US218_.jpg
B078WR254G,A Hello!Lucky Book,"My Mom Is Magical (A Hello!Lucky Book) (March 6, 2018)",0,1,"2,482",4.8,https://m.media-amazon.com/images/I/51SpoAfZmLL._US218_.jpg
B07BFX264F,A Hello!Lucky Book,"Super Pooper and Whizz Kid (A Hello!Lucky Book): Potty Power! (August 14, 2018)",0,1,830,4.8,https://m.media-amazon.com/images/I/61P-Rtiqt3L._US218_.jpg
B07H2GH5JR,A Hello!Lucky Book,"Kindness Rules! (A Hello!Lucky Book) (April 9, 2019)",0,1,550,4.9,https://m.media-amazon.com/images/I/51HhAQNO6uL._US218_.jpg
B08K42V6DS,A Hello!Lucky Book,"You Are Fantastic! (A Hello!Lucky Book) (April 27, 2021)",0,1,528,4.8,https://m.media-amazon.com/images/I/51Y825-kg7S._US218_.jpg
9781419751103,A Hello!Lucky Book,"School Is Cool! (A Hello!Lucky Book) (July 13, 2021)",0,1,318,4.7,https://m.media-amazon.com/images/I/519Zqc+owwL._US218_.jpg
B08WJVC4X1,A Hello!Lucky Book,"Bananas for You! (A Hello!Lucky Book) (December 28, 2021)",0,1,291,4.9,https://m.media-amazon.com/images/I/517EaJ3JTdL._US218_.jpg
B08526LVC8,A Hello!Lucky Book,"Sloth and Smell the Roses (A Hello!Lucky Book) (January 12, 2021)",0,1,281,4.8,https://m.media-amazon.com/images/I/51nDvI2DXZL._US218_.jpg
B07P124SH8,A Hello!Lucky Book,"Christmas Is Awesome! (A Hello!Lucky Book) (October 15, 2019)",0,1,180,4.8,https://m.media-amazon.com/images/I/6111ZRpM8VL._US218_.jpg
9781419739644,A Hello!Lucky Book,"Go Get 'Em, Tiger! (A Hello!Lucky Book) (March 10, 2020)",0,1,147,4.9,https://m.media-amazon.com/images/I/61as7WIdGpL._US218_.jpg
B09C1891ZD,A Hello!Lucky Book,"My Grandpa Is Grand! (A Hello!Lucky Book) (March 8, 2022)",0,1,54,5,https://m.media-amazon.com/images/I/516wwB1jLfL._US218_.jpg
B09C18QGSS,A Hello!Lucky Book,"My Grandma Is Great! (A Hello!Lucky Book) (March 8, 2022)",0,1,54,5,https://m.media-amazon.com/images/I/51w0xLonldL._US218_.jpg
9781419743344,A Hello!Lucky Book,"Thanks a Ton! (A Hello!Lucky Book) (September 1, 2020)",0,1,24,4.8,https://m.media-amazon.com/images/I/51nx2rrFwHL._US218_.jpg
B09C18MNRL,A Hello!Lucky Book,"Halloween Is a Treat! (A Hello!Lucky Book) (July 12, 2022)",0,1,19,4.9,https://m.media-amazon.com/images/I/51O2vIqZOaL._US218_.jpg
9781419755569,A Hello!Lucky Book,"Hang in There! (A Hello!Lucky Book) (May 3, 2022)",0,1,2,2.7,https://m.media-amazon.com/images/I/61xFKFD19rL._US218_.jpg
9780374360962,A Pout-Pout Fish Adventure,"The Pout-Pout Fish (A Pout-Pout Fish Adventure, 1) (March 18, 2008)",0,1,"25,553",4.8,https://m.media-amazon.com/images/I/51QCFvcj9HL._US218_.jpg
9780374307981,A Pout-Pout Fish Adventure,"The Pout-Pout Fish in the Big-Big Dark (A Pout-Pout Fish Adventure, 2) (August 17, 2010)",0,1,"3,011",4.7,https://m.media-amazon.com/images/I/51SyHHAZLuL._US218_.jpg
9780374355494,A Pout-Pout Fish Adventure,"The Not Very Merry Pout-Pout Fish (A Pout-Pout Fish Adventure) (September 8, 2015)",0,1,"2,330",4.7,https://m.media-amazon.com/images/I/61UDlk4nP+L._US218_.jpg
9780374360955,A Pout-Pout Fish Adventure,"The Pout-Pout Fish Goes to School (A Pout-Pout Fish Adventure) (June 24, 2014)",0,1,"2,012",4.8,https://m.media-amazon.com/images/I/61lHQ5seUwL._US218_.jpg
9780374304027,A Pout-Pout Fish Adventure,"The Pout-Pout Fish and the Bully-Bully Shark (A Pout-Pout Fish Adventure) (September 5, 2017)",0,1,"1,123",4.8,https://m.media-amazon.com/images/I/61nQWm6R45L._US218_.jpg
9780374304034,A Pout-Pout Fish Adventure,"The Pout-Pout Fish and the Can't-Sleep Blues (A Pout-Pout Fish Adventure) (August 28, 2018)",0,1,895,4.8,https://m.media-amazon.com/images/I/51v2mEe2DML._US218_.jpg
9780374301941,A Pout-Pout Fish Adventure,"The Pout-Pout Fish, Far, Far from Home (A Pout-Pout Fish Adventure) (April 4, 2017)",0,1,637,4.8,https://m.media-amazon.com/images/I/51sBLSZAyKL._US218_.jpg
9780374309343,A Pout-Pout Fish Adventure,"The Pout-Pout Fish Cleans Up the Ocean (A Pout-Pout Fish Adventure, 4) (June 4, 2019)",0,1,480,4.8,https://m.media-amazon.com/images/I/51cQQ3NcqGL._US218_.jpg
9780374309350,A Pout-Pout Fish Adventure,"The Pout-Pout Fish and the Mad, Mad Day (A Pout-Pout Fish Adventure) (May 11, 2021)",0,1,387,4.8,https://m.media-amazon.com/images/I/61qRPe9xD3L._US218_.jpg
9780374389307,A Pout-Pout Fish Adventure,"The Pout-Pout Fish and the Worry-Worry Whale (A Pout-Pout Fish Adventure) (June 7, 2022)",0,1,75,4.6,https://m.media-amazon.com/images/I/51JkZVEryHL._US218_.jpg
9781419735882,An Abrams Block Book,"Marvel Alphablock (An Abrams Block Book): The Marvel Cinematic Universe from A to Z (April 16, 2019)",0,1,"1,604",4.9,https://m.media-amazon.com/images/I/51f8b-JvINL._US218_.jpg
B00ZQCA03E,An Abrams Block Book,"Alphablock by Franceschelli, Christopher (2013) Board book",0,1,"1,340",4.8,https://m.media-amazon.com/images/I/51Zo82KBomL._US218_.jpg
9781419713743,An Abrams Block Book,"Countablock (An Abrams Block Book) (August 5, 2014)",0,1,903,4.8,https://m.media-amazon.com/images/I/514ZgZGdhlL._US218_.jpg
9781419728310,An Abrams Block Book,"Star Wars Block: Over 100 Words Every Fan Should Know (An Abrams Block Book) (May 1, 2018)",0,1,818,4.8,https://m.media-amazon.com/images/I/51m8bAmGwCL._US218_.jpg
9781419716744,An Abrams Block Book,"Dinoblock (An Abrams Block Book) (June 30, 2015)",0,1,780,4.8,https://m.media-amazon.com/images/I/51q4eo8dubL._US218_.jpg
9781419725692,An Abrams Block Book,"Buildablock (An Abrams Block Book) (September 19, 2017)",0,1,677,4.8,https://m.media-amazon.com/images/I/51UZrOMc2gL._US218_.jpg
9781419738258,An Abrams Block Book,"Farmblock (An Abrams Block Book) (October 1, 2019)",0,1,624,4.8,https://m.media-amazon.com/images/I/51vRhrFNOnL._US218_.jpg
9781419721892,An Abrams Block Book,"Cityblock (An Abrams Block Book) (September 6, 2016)",0,1,424,4.8,https://m.media-amazon.com/images/I/51X0lx9gqGL._US218_.jpg
9781419740572,An Abrams Block Book,"Disney Block (An Abrams Block Book): Magical Moments for Fans of Every Age (July 28, 2020)",0,1,348,4.8,https://m.media-amazon.com/images/I/51H-fUu2gHL._US218_.jpg
9781419731532,An Abrams Block Book,"Loveblock (An Abrams Block Book) (December 1, 2020)",0,1,282,4.9,https://m.media-amazon.com/images/I/51okaJYVy2L._US218_.jpg
