isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,Image 2,Image 3
9780439136358,,"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (3)",4.9,"80,827",Hardcover,"8+ years, from customers",4 - 7,880L,435 pages,English,6.25 x 1.5 x 9.5 inches,Scholastic,"October 1, 1999",439136350,978-0439136358,J.K. Rowling,Mary GrandPré,Not known,https://m.media-amazon.com/images/I/51-rbiAIiRL._US218_.jpg,https://m.media-amazon.com/images/I/41FyNq2e1kL._US218_.jpg,https://m.media-amazon.com/images/I/310BcUXm1jL._US218_.jpg
9781476789873,,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,4.9,"4,873",Hardcover,"7 - 11 years, from customers",4 - 7,710L,256 pages,English,5.5 x 1 x 8.25 inches,Threshold Editions,"October 28, 2014",1476789878,978-1476789873,Rush Limbaugh,Kathryn Adams Limbaugh,Not known,https://m.media-amazon.com/images/I/51ZdxcBEXoL._US218_.jpg,https://m.media-amazon.com/images/I/519i7-8InsL._US218_.jpg,https://m.media-amazon.com/images/I/31BAnTg9efL._US218_.jpg
9780448489322,,Love from The Very Hungry Caterpillar (The World of Eric Carle),4.8,"4,609",Hardcover,"1 - 3 years, from customers",Not known,180L,32 pages,English,5.81 x 0.41 x 7.06 inches,World of Eric Carle,"December 15, 2015",448489325,978-0448489322,Eric Carle,Not known,Not known,https://m.media-amazon.com/images/I/41jZK5rDWpL._US218_.jpg,https://m.media-amazon.com/images/I/31CxUzFkO6L._US218_.jpg,https://m.media-amazon.com/images/I/31L8oByV18L._US218_.jpg
9780545261241,,The Wonky Donkey,4.8,"80,177",Paperback,"2 - 5 years, from customers",Preschool - Kindergarten,AD990L,24 pages,English,8.8 x 0.2 x 8.6 inches,Scholastic Paperbacks,"May 1, 2010",545261244,978-0545261241,Craig Smith,Ms. Katz Cowley,Not known,https://m.media-amazon.com/images/I/51cHCkvvKiL._US218_.jpg,https://m.media-amazon.com/images/I/51EPSms5yBL._US218_.jpg,https://m.media-amazon.com/images/I/31O5iEqRCfL._US218_.jpg
9781938298073,,What Do You Do With an Idea? — New York Times best seller,4.8,"5,490",Hardcover,"3 - 7 years, from customers",1 - 2,AD490L,36 pages,English,10 x 0.5 x 9 inches,Compendium,"February 1, 2014",1938298071,978-1938298073,Kobi Yamada,Mae Besom,Not known,https://m.media-amazon.com/images/I/41RgDLC3wLL._US218_.jpg,https://m.media-amazon.com/images/I/319bfk4+GvL._US218_.jpg,https://m.media-amazon.com/images/I/31pAaB054BL._US218_.jpg
9781419723834,,Making Faces: A First Book of Emotions,4.7,"2,858",Board book,"1 - 2 years, from customers",Preschool and up,Not known,14 pages,English,7 x 0.45 x 7 inches,Abrams Appleseed,"May 30, 2017",1419723839,978-1419723834,Abrams Appleseed,Not known,Not known,https://m.media-amazon.com/images/I/51THSCtdsKL._US218_.jpg,https://m.media-amazon.com/images/I/51pxGxj0G0S._US218_.jpg,https://m.media-amazon.com/images/I/31r-+ohD2RL._US218_.jpg
9780062667137,,I Believe I Can,4.9,"1,045",Hardcover,"2 - 8 years, from customers",Preschool - 3,Not known,32 pages,English,10.2 x 0.5 x 10.2 inches,Balzer + Bray,"March 3, 2020",62667130,978-0062667137,Grace Byers,Keturah A. Bobo,Not known,https://m.media-amazon.com/images/I/511laxewl8L._US218_.jpg,https://m.media-amazon.com/images/I/31zoGQwHz-L._US218_.jpg,https://m.media-amazon.com/images/I/31rB0g66+WL._US218_.jpg
9781931636858,,My Mouth Is A Volcano,4.8,"5,372",Paperback,"4 - 7 years, from customers",Kindergarten - 3,AD600L,32 pages,English,8.8 x 0.1 x 7.7 inches,National Center for Youth Issues,"October 1, 2005",1931636850,978-1931636858,Julia Cook,Carrie Hartman,Not known,https://m.media-amazon.com/images/I/51ANPXZ0iqL._US218_.jpg,https://m.media-amazon.com/images/I/61OrjsmLqSL._US218_.jpg,https://m.media-amazon.com/images/I/31TTYTAnUgL._US218_.jpg
9780062438898,,The Legend of Rock Paper Scissors,4.9,"3,023",Hardcover,"4 - 8 years, from customers",Preschool - 3,AD670L,48 pages,English,10.25 x 0.25 x 11.25 inches,Balzer + Bray,"April 4, 2017",62438891,978-0062438898,Drew Daywalt,Adam Rex,Not known,https://m.media-amazon.com/images/I/515waJv1bIL._US218_.jpg,https://m.media-amazon.com/images/I/41Csq51pUXL._US218_.jpg,https://m.media-amazon.com/images/I/410G310l4BL._US218_.jpg
9781452173801,,Last Week Tonight with John Oliver Presents: A Day in the Life of Marlon Bundo (HBO),4.9,"16,669",Hardcover,"2 - 7 years, from customers",1 - 3,Not known,40 pages,English,10.25 x 0.5 x 10.25 inches,Chronicle Books,"March 18, 2018",145217380X,978-1452173801,Jill Twiss,Marlon Bundo,EG (Gerald Kelley) Keller,https://m.media-amazon.com/images/I/41gwQuKbaOL._US218_.jpg,https://m.media-amazon.com/images/I/41Cv1jCMzsL._US218_.jpg,https://m.media-amazon.com/images/I/410lPVPzNzL._US218_.jpg
9781939754660,,Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work (Awesome STEAM Activities for Kids),4.7,"15,058",Paperback,"5 - 9 years, from customers",3 - 6,920L,254 pages,English,8.5 x 0.7 x 9 inches,Rockridge Press,"February 13, 2018",9781939754660,978-1939754660,Crystal Chatterton,Not known,Not known,https://m.media-amazon.com/images/I/51Kpl9LAEuL._US218_.jpg,https://m.media-amazon.com/images/I/418vy3kqb+L._US218_.jpg,https://m.media-amazon.com/images/I/412bdD6iAEL._US218_.jpg
9783314015441,,The Rainbow Fish,4.8,"5,530",Paperback,"1 - 4 years, from customers",Not known,Not known,Not known,English,8.46 x 0.2 x 11.42 inches,North-South Books (Nord-Sud Ve,"January 1, 2012",3314015445,978-3314015441,Marcus Pfister,Not known,Not known,https://m.media-amazon.com/images/I/51QMpUbu8DL._US218_.jpg,https://m.media-amazon.com/images/I/410sX9DWboL._US218_.jpg,https://m.media-amazon.com/images/I/415EU2wFNKL._US218_.jpg
